     Time	   ECG1	   ECG2
(hh:mm:ss.mmm)	   (mV)	   (mV)
[11:15:00.000]	  0.125	 -0.045
[11:15:00.008]	  0.005	 -0.135
[11:15:00.016]	  0.025	 -0.155
[11:15:00.023]	  0.065	 -0.125
[11:15:00.031]	 -0.085	 -0.105
[11:15:00.039]	  0.005	 -0.145
[11:15:00.047]	 -0.065	 -0.145
[11:15:00.055]	 -0.015	 -0.135
[11:15:00.063]	 -0.035	 -0.125
[11:15:00.070]	 -0.035	 -0.125
[11:15:00.078]	  0.015	 -0.135
[11:15:00.086]	  0.155	  0.005
[11:15:00.094]	  0.435	  0.335
[11:15:00.102]	  0.655	  0.665
[11:15:00.109]	  0.865	 -0.265
[11:15:00.117]	  0.125	 -0.985
[11:15:00.125]	 -0.925	 -1.315
[11:15:00.133]	 -0.935	 -1.285
[11:15:00.141]	 -0.615	 -0.755
[11:15:00.148]	 -0.235	 -0.375
[11:15:00.156]	  0.005	 -0.065
[11:15:00.164]	  0.035	  0.055
[11:15:00.172]	  0.035	  0.065
[11:15:00.180]	  0.015	  0.065
[11:15:00.188]	  0.005	  0.075
[11:15:00.195]	  0.045	  0.065
[11:15:00.203]	  0.045	  0.065
[11:15:00.211]	  0.045	  0.085
[11:15:00.219]	  0.105	  0.115
[11:15:00.227]	  0.105	  0.135
[11:15:00.234]	  0.095	  0.125
[11:15:00.242]	  0.125	  0.145
[11:15:00.250]	  0.115	  0.155
[11:15:00.258]	  0.105	  0.185
[11:15:00.266]	  0.165	  0.195
[11:15:00.273]	  0.155	  0.205
[11:15:00.281]	  0.235	  0.255
[11:15:00.289]	  0.185	  0.265
[11:15:00.297]	  0.205	  0.285
[11:15:00.305]	  0.315	  0.315
[11:15:00.313]	  0.295	  0.365
[11:15:00.320]	  0.305	  0.405
[11:15:00.328]	  0.325	  0.425
[11:15:00.336]	  0.415	  0.455
[11:15:00.344]	  0.425	  0.525
[11:15:00.352]	  0.495	  0.545
[11:15:00.359]	  0.475	  0.555
[11:15:00.367]	  0.525	  0.575
[11:15:00.375]	  0.475	  0.585
[11:15:00.383]	  0.505	  0.575
[11:15:00.391]	  0.415	  0.525
[11:15:00.398]	  0.355	  0.435
[11:15:00.406]	  0.265	  0.325
[11:15:00.414]	  0.175	  0.185
[11:15:00.422]	  0.105	  0.085
[11:15:00.430]	  0.085	  0.005
[11:15:00.438]	 -0.015	 -0.045
[11:15:00.445]	 -0.015	 -0.075
[11:15:00.453]	 -0.045	 -0.115
[11:15:00.461]	 -0.095	 -0.125
[11:15:00.469]	 -0.035	 -0.125
[11:15:00.477]	 -0.085	 -0.145
[11:15:00.484]	 -0.085	 -0.155
[11:15:00.492]	 -0.135	 -0.145
[11:15:00.500]	 -0.065	 -0.145
[11:15:00.508]	 -0.085	 -0.155
[11:15:00.516]	 -0.105	 -0.155
[11:15:00.523]	 -0.075	 -0.145
[11:15:00.531]	 -0.095	 -0.135
[11:15:00.539]	 -0.095	 -0.135
[11:15:00.547]	 -0.065	 -0.145
[11:15:00.555]	 -0.085	 -0.135
[11:15:00.563]	 -0.075	 -0.125
[11:15:00.570]	 -0.085	 -0.125
[11:15:00.578]	 -0.075	 -0.145
[11:15:00.586]	 -0.085	 -0.145
[11:15:00.594]	 -0.075	 -0.135
[11:15:00.602]	 -0.045	 -0.145
[11:15:00.609]	 -0.065	 -0.135
[11:15:00.617]	 -0.055	 -0.145
[11:15:00.625]	 -0.075	 -0.135
[11:15:00.633]	 -0.075	 -0.155
[11:15:00.641]	 -0.105	 -0.165
[11:15:00.648]	 -0.055	 -0.155
[11:15:00.656]	 -0.095	 -0.145
[11:15:00.664]	 -0.085	 -0.155
[11:15:00.672]	 -0.095	 -0.155
[11:15:00.680]	 -0.055	 -0.165
[11:15:00.688]	 -0.095	 -0.155
[11:15:00.695]	 -0.105	 -0.175
[11:15:00.703]	 -0.085	 -0.175
[11:15:00.711]	 -0.105	 -0.165
[11:15:00.719]	 -0.065	 -0.165
[11:15:00.727]	 -0.065	 -0.175
[11:15:00.734]	 -0.025	 -0.155
[11:15:00.742]	 -0.075	 -0.165
[11:15:00.750]	 -0.125	 -0.165
[11:15:00.758]	 -0.065	 -0.175
[11:15:00.766]	 -0.095	 -0.165
[11:15:00.773]	 -0.105	 -0.155
[11:15:00.781]	 -0.045	 -0.135
[11:15:00.789]	 -0.045	 -0.145
[11:15:00.797]	  0.015	 -0.125
[11:15:00.805]	  0.015	 -0.105
[11:15:00.813]	  0.075	 -0.095
[11:15:00.820]	  0.055	 -0.095
[11:15:00.828]	  0.035	 -0.085
[11:15:00.836]	 -0.045	 -0.135
[11:15:00.844]	 -0.045	 -0.175
[11:15:00.852]	 -0.015	 -0.175
[11:15:00.859]	 -0.075	 -0.165
[11:15:00.867]	 -0.135	 -0.165
[11:15:00.875]	 -0.145	 -0.195
[11:15:00.883]	 -0.105	 -0.215
[11:15:00.891]	 -0.165	 -0.215
[11:15:00.898]	 -0.145	 -0.205
[11:15:00.906]	 -0.085	 -0.195
[11:15:00.914]	 -0.085	 -0.185
[11:15:00.922]	  0.005	 -0.115
[11:15:00.930]	  0.295	  0.145
[11:15:00.938]	  0.585	  0.575
[11:15:00.945]	  0.885	  0.005
[11:15:00.953]	  0.055	 -0.775
[11:15:00.961]	 -0.955	 -1.145
[11:15:00.969]	 -1.055	 -1.295
[11:15:00.977]	 -0.725	 -0.855
[11:15:00.984]	 -0.455	 -0.535
[11:15:00.992]	 -0.175	 -0.255
[11:15:01.000]	 -0.065	 -0.045
[11:15:01.008]	 -0.125	 -0.025
[11:15:01.016]	 -0.045	 -0.045
[11:15:01.023]	 -0.065	 -0.045
[11:15:01.031]	 -0.035	 -0.005
[11:15:01.039]	 -0.035	  0.005
[11:15:01.047]	 -0.035	  0.005
[11:15:01.055]	 -0.055	  0.025
[11:15:01.063]	  0.015	  0.035
[11:15:01.070]	 -0.025	  0.045
[11:15:01.078]	 -0.015	  0.045
[11:15:01.086]	  0.115	  0.045
[11:15:01.094]	  0.005	  0.095
[11:15:01.102]	  0.025	  0.105
[11:15:01.109]	  0.125	  0.115
[11:15:01.117]	  0.065	  0.145
[11:15:01.125]	  0.155	  0.175
[11:15:01.133]	  0.135	  0.195
[11:15:01.141]	  0.155	  0.225
[11:15:01.148]	  0.185	  0.225
[11:15:01.156]	  0.225	  0.305
[11:15:01.164]	  0.305	  0.345
[11:15:01.172]	  0.265	  0.365
[11:15:01.180]	  0.405	  0.405
[11:15:01.188]	  0.375	  0.455
[11:15:01.195]	  0.395	  0.455
[11:15:01.203]	  0.435	  0.465
[11:15:01.211]	  0.415	  0.465
[11:15:01.219]	  0.415	  0.465
[11:15:01.227]	  0.345	  0.385
[11:15:01.234]	  0.235	  0.305
[11:15:01.242]	  0.145	  0.195
[11:15:01.250]	  0.025	  0.095
[11:15:01.258]	 -0.055	 -0.005
[11:15:01.266]	 -0.065	 -0.075
[11:15:01.273]	 -0.155	 -0.125
[11:15:01.281]	 -0.175	 -0.155
[11:15:01.289]	 -0.155	 -0.185
[11:15:01.297]	 -0.215	 -0.205
[11:15:01.305]	 -0.245	 -0.215
[11:15:01.313]	 -0.135	 -0.225
[11:15:01.320]	 -0.235	 -0.225
[11:15:01.328]	 -0.255	 -0.245
[11:15:01.336]	 -0.215	 -0.235
[11:15:01.344]	 -0.225	 -0.215
[11:15:01.352]	 -0.285	 -0.225
[11:15:01.359]	 -0.155	 -0.225
[11:15:01.367]	 -0.225	 -0.225
[11:15:01.375]	 -0.245	 -0.215
[11:15:01.383]	 -0.205	 -0.215
[11:15:01.391]	 -0.265	 -0.225
[11:15:01.398]	 -0.225	 -0.215
[11:15:01.406]	 -0.185	 -0.215
[11:15:01.414]	 -0.245	 -0.205
[11:15:01.422]	 -0.195	 -0.215
[11:15:01.430]	 -0.225	 -0.215
[11:15:01.438]	 -0.225	 -0.205
[11:15:01.445]	 -0.175	 -0.215
[11:15:01.453]	 -0.255	 -0.225
[11:15:01.461]	 -0.235	 -0.215
[11:15:01.469]	 -0.275	 -0.215
[11:15:01.477]	 -0.135	 -0.225
[11:15:01.484]	 -0.225	 -0.225
[11:15:01.492]	 -0.225	 -0.225
[11:15:01.500]	 -0.215	 -0.235
[11:15:01.508]	 -0.235	 -0.235
[11:15:01.516]	 -0.225	 -0.255
[11:15:01.523]	 -0.245	 -0.245
[11:15:01.531]	 -0.255	 -0.235
[11:15:01.539]	 -0.245	 -0.235
[11:15:01.547]	 -0.185	 -0.235
[11:15:01.555]	 -0.235	 -0.235
[11:15:01.563]	 -0.225	 -0.235
[11:15:01.570]	 -0.285	 -0.245
[11:15:01.578]	 -0.185	 -0.245
[11:15:01.586]	 -0.205	 -0.235
[11:15:01.594]	 -0.245	 -0.235
[11:15:01.602]	 -0.205	 -0.235
[11:15:01.609]	 -0.235	 -0.235
[11:15:01.617]	 -0.235	 -0.225
[11:15:01.625]	 -0.195	 -0.215
[11:15:01.633]	 -0.205	 -0.225
[11:15:01.641]	 -0.235	 -0.225
[11:15:01.648]	 -0.135	 -0.205
[11:15:01.656]	 -0.165	 -0.175
[11:15:01.664]	 -0.105	 -0.185
[11:15:01.672]	 -0.105	 -0.155
[11:15:01.680]	 -0.095	 -0.115
[11:15:01.688]	 -0.045	 -0.125
[11:15:01.695]	 -0.015	 -0.115
[11:15:01.703]	 -0.135	 -0.125
[11:15:01.711]	 -0.105	 -0.195
[11:15:01.719]	 -0.235	 -0.235
[11:15:01.727]	 -0.135	 -0.225
[11:15:01.734]	 -0.205	 -0.225
[11:15:01.742]	 -0.225	 -0.225
[11:15:01.750]	 -0.255	 -0.245
[11:15:01.758]	 -0.285	 -0.245
[11:15:01.766]	 -0.225	 -0.255
[11:15:01.773]	 -0.225	 -0.245
[11:15:01.781]	 -0.235	 -0.225
[11:15:01.789]	 -0.235	 -0.235
[11:15:01.797]	 -0.025	 -0.095
[11:15:01.805]	  0.275	  0.245
[11:15:01.813]	  0.585	  0.525
[11:15:01.820]	  0.795	 -0.585
[11:15:01.828]	 -0.425	 -1.275
[11:15:01.836]	 -1.375	 -1.555
[11:15:01.844]	 -1.135	 -1.235
[11:15:01.852]	 -0.665	 -0.715
[11:15:01.859]	 -0.265	 -0.315
[11:15:01.867]	 -0.185	 -0.055
[11:15:01.875]	 -0.195	 -0.015
[11:15:01.883]	 -0.215	 -0.025
[11:15:01.891]	 -0.175	 -0.035
[11:15:01.898]	 -0.185	 -0.025
[11:15:01.906]	 -0.155	 -0.015
[11:15:01.914]	 -0.205	  0.005
[11:15:01.922]	 -0.115	  0.005
[11:15:01.930]	 -0.095	  0.025
[11:15:01.938]	 -0.165	  0.045
[11:15:01.945]	 -0.105	  0.045
[11:15:01.953]	 -0.085	  0.065
[11:15:01.961]	 -0.065	  0.075
[11:15:01.969]	 -0.105	  0.125
[11:15:01.977]	 -0.035	  0.135
[11:15:01.984]	 -0.075	  0.155
[11:15:01.992]	  0.015	  0.185
[11:15:02.000]	 -0.005	  0.215
[11:15:02.008]	  0.035	  0.245
[11:15:02.016]	  0.075	  0.275
[11:15:02.023]	  0.095	  0.325
[11:15:02.031]	  0.135	  0.365
[11:15:02.039]	  0.205	  0.415
[11:15:02.047]	  0.215	  0.455
[11:15:02.055]	  0.305	  0.505
[11:15:02.063]	  0.305	  0.525
[11:15:02.070]	  0.335	  0.545
[11:15:02.078]	  0.325	  0.555
[11:15:02.086]	  0.305	  0.545
[11:15:02.094]	  0.305	  0.505
[11:15:02.102]	  0.215	  0.395
[11:15:02.109]	  0.115	  0.265
[11:15:02.117]	 -0.035	  0.145
[11:15:02.125]	 -0.085	  0.045
[11:15:02.133]	 -0.155	 -0.035
[11:15:02.141]	 -0.185	 -0.115
[11:15:02.148]	 -0.225	 -0.145
[11:15:02.156]	 -0.235	 -0.165
[11:15:02.164]	 -0.225	 -0.185
[11:15:02.172]	 -0.225	 -0.205
[11:15:02.180]	 -0.265	 -0.215
[11:15:02.188]	 -0.275	 -0.215
[11:15:02.195]	 -0.295	 -0.215
[11:15:02.203]	 -0.285	 -0.235
[11:15:02.211]	 -0.265	 -0.225
[11:15:02.219]	 -0.275	 -0.215
