     Time	   ECG1	   ECG2
(hh:mm:ss.mmm)	   (mV)	   (mV)
[11:39:00.000]	  0.255	  0.185
[11:39:00.008]	  0.245	  0.175
[11:39:00.016]	  0.235	  0.165
[11:39:00.023]	  0.235	  0.165
[11:39:00.031]	  0.235	  0.165
[11:39:00.039]	  0.225	  0.155
[11:39:00.047]	  0.215	  0.155
[11:39:00.055]	  0.215	  0.145
[11:39:00.063]	  0.205	  0.145
[11:39:00.070]	  0.205	  0.145
[11:39:00.078]	  0.195	  0.135
[11:39:00.086]	  0.195	  0.125
[11:39:00.094]	  0.185	  0.125
[11:39:00.102]	  0.175	  0.125
[11:39:00.109]	  0.165	  0.115
[11:39:00.117]	  0.175	  0.105
[11:39:00.125]	  0.165	  0.105
[11:39:00.133]	  0.155	  0.095
[11:39:00.141]	  0.145	  0.085
[11:39:00.148]	  0.125	  0.075
[11:39:00.156]	 -0.475	 -0.335
[11:39:00.164]	 -0.685	 -0.645
[11:39:00.172]	 -0.645	 -0.625
[11:39:00.180]	 -0.635	 -0.615
[11:39:00.188]	 -0.635	 -0.615
[11:39:00.195]	 -0.635	 -0.605
[11:39:00.203]	 -0.625	 -0.605
[11:39:00.211]	 -0.605	 -0.595
[11:39:00.219]	 -0.605	 -0.585
[11:39:00.227]	 -0.595	 -0.585
[11:39:00.234]	 -0.595	 -0.585
[11:39:00.242]	 -0.575	 -0.565
[11:39:00.250]	 -0.565	 -0.565
[11:39:00.258]	 -0.565	 -0.555
[11:39:00.266]	 -0.555	 -0.555
[11:39:00.273]	 -0.545	 -0.535
[11:39:00.281]	 -0.535	 -0.535
[11:39:00.289]	 -0.525	 -0.525
[11:39:00.297]	 -0.525	 -0.525
[11:39:00.305]	 -0.515	 -0.515
[11:39:00.313]	 -0.505	 -0.505
[11:39:00.320]	 -0.505	 -0.495
[11:39:00.328]	 -0.495	 -0.495
[11:39:00.336]	 -0.485	 -0.485
[11:39:00.344]	 -0.475	 -0.475
[11:39:00.352]	 -0.465	 -0.465
[11:39:00.359]	 -0.465	 -0.465
[11:39:00.367]	 -0.455	 -0.465
[11:39:00.375]	 -0.455	 -0.445
[11:39:00.383]	 -0.445	 -0.445
[11:39:00.391]	 -0.435	 -0.445
[11:39:00.398]	 -0.425	 -0.425
[11:39:00.406]	 -0.425	 -0.425
[11:39:00.414]	 -0.415	 -0.415
[11:39:00.422]	 -0.405	 -0.415
[11:39:00.430]	 -0.395	 -0.405
[11:39:00.438]	 -0.395	 -0.405
[11:39:00.445]	 -0.395	 -0.395
[11:39:00.453]	 -0.385	 -0.395
[11:39:00.461]	 -0.375	 -0.385
[11:39:00.469]	 -0.375	 -0.375
[11:39:00.477]	 -0.365	 -0.375
[11:39:00.484]	 -0.365	 -0.375
[11:39:00.492]	 -0.355	 -0.365
[11:39:00.500]	 -0.355	 -0.355
[11:39:00.508]	 -0.345	 -0.345
[11:39:00.516]	 -0.345	 -0.345
[11:39:00.523]	 -0.335	 -0.345
[11:39:00.531]	 -0.325	 -0.335
[11:39:00.539]	 -0.325	 -0.325
[11:39:00.547]	 -0.315	 -0.325
[11:39:00.555]	 -0.315	 -0.325
[11:39:00.563]	 -0.305	 -0.315
[11:39:00.570]	 -0.305	 -0.305
[11:39:00.578]	 -0.305	 -0.305
[11:39:00.586]	 -0.295	 -0.305
[11:39:00.594]	 -0.285	 -0.295
[11:39:00.602]	 -0.285	 -0.285
[11:39:00.609]	 -0.275	 -0.285
[11:39:00.617]	 -0.275	 -0.285
[11:39:00.625]	 -0.265	 -0.275
[11:39:00.633]	 -0.255	 -0.265
[11:39:00.641]	 -0.235	 -0.255
[11:39:00.648]	 -0.265	 -0.275
[11:39:00.656]	  0.555	  0.455
[11:39:00.664]	  0.555	  0.475
[11:39:00.672]	  0.535	  0.455
[11:39:00.680]	  0.535	  0.445
