     Time	   ECG1	   ECG2
(hh:mm:ss.mmm)	   (mV)	   (mV)
[09:54:00.000]	 -0.075	 -0.160
[09:54:00.008]	 -0.165	 -0.160
[09:54:00.016]	 -0.225	 -0.190
[09:54:00.023]	 -0.175	 -0.200
[09:54:00.031]	 -0.225	 -0.190
[09:54:00.039]	 -0.225	 -0.210
[09:54:00.047]	 -0.215	 -0.220
[09:54:00.055]	 -0.185	 -0.210
[09:54:00.063]	 -0.235	 -0.190
[09:54:00.070]	 -0.215	 -0.200
[09:54:00.078]	 -0.215	 -0.200
[09:54:00.086]	 -0.195	 -0.200
[09:54:00.094]	 -0.275	 -0.200
[09:54:00.102]	 -0.585	 -0.180
[09:54:00.109]	 -0.515	 -0.110
[09:54:00.117]	  0.475	 -0.060
[09:54:00.125]	  1.645	  0.120
[09:54:00.133]	  1.035	  0.060
[09:54:00.141]	 -0.355	 -1.010
[09:54:00.148]	 -0.785	 -2.060
[09:54:00.156]	 -0.425	 -1.890
[09:54:00.164]	 -0.135	 -1.140
[09:54:00.172]	 -0.125	 -0.390
[09:54:00.180]	 -0.125	 -0.130
[09:54:00.188]	 -0.115	 -0.020
[09:54:00.195]	 -0.105	  0.030
[09:54:00.203]	 -0.115	  0.050
[09:54:00.211]	 -0.095	  0.070
[09:54:00.219]	 -0.085	  0.080
[09:54:00.227]	 -0.055	  0.100
[09:54:00.234]	 -0.025	  0.120
[09:54:00.242]	 -0.015	  0.150
[09:54:00.250]	 -0.005	  0.170
[09:54:00.258]	  0.005	  0.190
[09:54:00.266]	  0.035	  0.200
[09:54:00.273]	  0.115	  0.250
[09:54:00.281]	  0.135	  0.300
[09:54:00.289]	  0.145	  0.340
[09:54:00.297]	  0.215	  0.380
[09:54:00.305]	  0.275	  0.430
[09:54:00.313]	  0.365	  0.490
[09:54:00.320]	  0.385	  0.540
[09:54:00.328]	  0.415	  0.570
[09:54:00.336]	  0.415	  0.580
[09:54:00.344]	  0.415	  0.560
[09:54:00.352]	  0.445	  0.530
[09:54:00.359]	  0.385	  0.490
[09:54:00.367]	  0.275	  0.410
[09:54:00.375]	  0.145	  0.270
[09:54:00.383]	  0.095	  0.150
[09:54:00.391]	 -0.005	  0.050
[09:54:00.398]	 -0.055	 -0.030
[09:54:00.406]	 -0.105	 -0.100
[09:54:00.414]	 -0.105	 -0.130
[09:54:00.422]	 -0.125	 -0.150
[09:54:00.430]	 -0.165	 -0.160
[09:54:00.438]	 -0.145	 -0.190
[09:54:00.445]	 -0.155	 -0.170
