     Time	   ECG1	   ECG2
(hh:mm:ss.mmm)	   (mV)	   (mV)
[10:45:00.000]	 -0.185	 -0.085
[10:45:00.008]	 -0.215	 -0.105
[10:45:00.016]	 -0.215	 -0.105
[10:45:00.023]	 -0.245	 -0.105
[10:45:00.031]	 -0.205	 -0.095
[10:45:00.039]	 -0.195	 -0.095
[10:45:00.047]	 -0.155	 -0.095
[10:45:00.055]	 -0.165	 -0.095
[10:45:00.063]	 -0.165	 -0.105
[10:45:00.070]	 -0.175	 -0.095
[10:45:00.078]	 -0.215	 -0.125
[10:45:00.086]	 -0.185	 -0.115
[10:45:00.094]	 -0.165	 -0.085
[10:45:00.102]	 -0.165	 -0.085
[10:45:00.109]	 -0.165	 -0.115
[10:45:00.117]	 -0.145	 -0.105
[10:45:00.125]	 -0.155	 -0.095
[10:45:00.133]	 -0.185	 -0.105
[10:45:00.141]	 -0.215	 -0.125
[10:45:00.148]	 -0.175	 -0.125
[10:45:00.156]	 -0.165	 -0.105
[10:45:00.164]	 -0.155	 -0.115
[10:45:00.172]	 -0.155	 -0.125
[10:45:00.180]	 -0.155	 -0.115
[10:45:00.188]	 -0.165	 -0.115
[10:45:00.195]	 -0.185	 -0.115
[10:45:00.203]	 -0.165	 -0.125
[10:45:00.211]	 -0.175	 -0.135
[10:45:00.219]	 -0.185	 -0.115
[10:45:00.227]	 -0.165	 -0.115
[10:45:00.234]	 -0.155	 -0.125
[10:45:00.242]	 -0.165	 -0.135
[10:45:00.250]	 -0.165	 -0.115
[10:45:00.258]	 -0.165	 -0.115
[10:45:00.266]	 -0.165	 -0.125
[10:45:00.273]	 -0.155	 -0.115
[10:45:00.281]	 -0.175	 -0.115
[10:45:00.289]	 -0.185	 -0.115
[10:45:00.297]	 -0.165	 -0.125
[10:45:00.305]	 -0.175	 -0.115
[10:45:00.313]	 -0.155	 -0.115
[10:45:00.320]	 -0.185	 -0.115
[10:45:00.328]	 -0.165	 -0.125
[10:45:00.336]	 -0.165	 -0.115
[10:45:00.344]	 -0.175	 -0.115
[10:45:00.352]	 -0.175	 -0.115
[10:45:00.359]	 -0.175	 -0.125
[10:45:00.367]	 -0.175	 -0.125
[10:45:00.375]	 -0.165	 -0.115
[10:45:00.383]	 -0.175	 -0.115
[10:45:00.391]	 -0.185	 -0.135
[10:45:00.398]	 -0.165	 -0.105
[10:45:00.406]	 -0.175	 -0.115
[10:45:00.414]	 -0.145	 -0.105
[10:45:00.422]	 -0.155	 -0.115
[10:45:00.430]	 -0.145	 -0.085
[10:45:00.438]	 -0.105	 -0.055
[10:45:00.445]	 -0.065	 -0.005
[10:45:00.453]	 -0.055	  0.005
[10:45:00.461]	 -0.035	  0.025
[10:45:00.469]	  0.025	  0.055
[10:45:00.477]	  0.045	 -0.045
[10:45:00.484]	  0.025	 -0.095
[10:45:00.492]	  0.025	 -0.115
[10:45:00.500]	 -0.035	 -0.125
[10:45:00.508]	 -0.095	 -0.135
[10:45:00.516]	 -0.125	 -0.165
[10:45:00.523]	 -0.125	 -0.145
[10:45:00.531]	 -0.105	 -0.145
[10:45:00.539]	 -0.105	 -0.145
[10:45:00.547]	 -0.105	 -0.105
[10:45:00.555]	 -0.065	  0.095
[10:45:00.563]	 -0.035	 -0.075
[10:45:00.570]	  0.305	 -0.375
[10:45:00.578]	  0.865	 -0.575
[10:45:00.586]	  1.005	 -0.935
[10:45:00.594]	  0.055	 -0.955
[10:45:00.602]	 -0.395	 -0.355
[10:45:00.609]	 -0.325	 -0.135
[10:45:00.617]	 -0.105	 -0.115
[10:45:00.625]	 -0.055	 -0.095
[10:45:00.633]	 -0.065	 -0.115
[10:45:00.641]	 -0.065	 -0.125
[10:45:00.648]	 -0.075	 -0.105
[10:45:00.656]	 -0.055	 -0.075
[10:45:00.664]	 -0.055	 -0.075
[10:45:00.672]	 -0.065	 -0.075
[10:45:00.680]	 -0.045	 -0.075
[10:45:00.688]	 -0.035	 -0.055
[10:45:00.695]	 -0.055	 -0.055
[10:45:00.703]	 -0.045	 -0.055
[10:45:00.711]	 -0.045	 -0.055
[10:45:00.719]	 -0.025	 -0.055
[10:45:00.727]	 -0.025	 -0.025
[10:45:00.734]	 -0.015	 -0.035
[10:45:00.742]	 -0.025	 -0.035
[10:45:00.750]	 -0.015	 -0.035
[10:45:00.758]	  0.005	 -0.015
[10:45:00.766]	  0.015	 -0.015
[10:45:00.773]	  0.035	 -0.015
[10:45:00.781]	  0.035	 -0.005
[10:45:00.789]	  0.055	 -0.005
[10:45:00.797]	  0.085	 -0.005
[10:45:00.805]	  0.115	 -0.005
[10:45:00.813]	  0.115	  0.015
[10:45:00.820]	  0.145	  0.005
[10:45:00.828]	  0.165	  0.015
[10:45:00.836]	  0.175	  0.015
[10:45:00.844]	  0.195	  0.035
[10:45:00.852]	  0.225	  0.025
[10:45:00.859]	  0.225	  0.015
[10:45:00.867]	  0.235	  0.025
[10:45:00.875]	  0.215	  0.035
[10:45:00.883]	  0.185	  0.045
[10:45:00.891]	  0.145	  0.005
[10:45:00.898]	  0.085	  0.005
[10:45:00.906]	  0.025	  0.005
[10:45:00.914]	 -0.025	  0.005
[10:45:00.922]	 -0.075	 -0.015
[10:45:00.930]	 -0.105	 -0.035
[10:45:00.938]	 -0.145	 -0.025
[10:45:00.945]	 -0.145	 -0.025
[10:45:00.953]	 -0.155	 -0.045
[10:45:00.961]	 -0.165	 -0.035
[10:45:00.969]	 -0.175	 -0.025
[10:45:00.977]	 -0.175	 -0.025
[10:45:00.984]	 -0.155	 -0.035
[10:45:00.992]	 -0.145	 -0.025
[10:45:01.000]	 -0.145	 -0.025
[10:45:01.008]	 -0.165	 -0.025
[10:45:01.016]	 -0.145	 -0.025
[10:45:01.023]	 -0.145	 -0.025
[10:45:01.031]	 -0.135	 -0.025
[10:45:01.039]	 -0.135	 -0.025
[10:45:01.047]	 -0.145	 -0.035
[10:45:01.055]	 -0.145	 -0.035
[10:45:01.063]	 -0.145	 -0.025
[10:45:01.070]	 -0.155	 -0.025
[10:45:01.078]	 -0.155	 -0.045
[10:45:01.086]	 -0.185	 -0.035
[10:45:01.094]	 -0.175	 -0.035
[10:45:01.102]	 -0.165	 -0.025
[10:45:01.109]	 -0.165	 -0.045
[10:45:01.117]	 -0.185	 -0.035
[10:45:01.125]	 -0.165	 -0.025
[10:45:01.133]	 -0.185	 -0.025
[10:45:01.141]	 -0.165	 -0.055
[10:45:01.148]	 -0.175	 -0.045
[10:45:01.156]	 -0.185	 -0.035
[10:45:01.164]	 -0.185	 -0.025
[10:45:01.172]	 -0.195	 -0.045
[10:45:01.180]	 -0.185	 -0.045
[10:45:01.188]	 -0.185	 -0.035
[10:45:01.195]	 -0.175	 -0.035
[10:45:01.203]	 -0.185	 -0.045
[10:45:01.211]	 -0.205	 -0.045
[10:45:01.219]	 -0.175	 -0.035
[10:45:01.227]	 -0.185	 -0.035
[10:45:01.234]	 -0.185	 -0.055
[10:45:01.242]	 -0.155	 -0.035
[10:45:01.250]	 -0.175	 -0.045
[10:45:01.258]	 -0.185	 -0.035
[10:45:01.266]	 -0.175	 -0.045
[10:45:01.273]	 -0.185	 -0.045
[10:45:01.281]	 -0.175	 -0.045
[10:45:01.289]	 -0.185	 -0.035
[10:45:01.297]	 -0.175	 -0.045
[10:45:01.305]	 -0.165	 -0.055
[10:45:01.313]	 -0.155	 -0.035
[10:45:01.320]	 -0.185	 -0.055
[10:45:01.328]	 -0.195	 -0.055
[10:45:01.336]	 -0.175	 -0.045
[10:45:01.344]	 -0.165	 -0.035
[10:45:01.352]	 -0.185	 -0.045
[10:45:01.359]	 -0.175	 -0.045
[10:45:01.367]	 -0.155	 -0.045
[10:45:01.375]	 -0.165	 -0.035
[10:45:01.383]	 -0.155	 -0.025
[10:45:01.391]	 -0.165	 -0.045
[10:45:01.398]	 -0.185	 -0.035
[10:45:01.406]	 -0.175	 -0.035
[10:45:01.414]	 -0.135	 -0.005
[10:45:01.422]	 -0.125	  0.015
[10:45:01.430]	 -0.075	  0.045
[10:45:01.438]	 -0.055	  0.085
[10:45:01.445]	 -0.035	  0.115
[10:45:01.453]	  0.025	  0.125
[10:45:01.461]	  0.005	  0.005
[10:45:01.469]	  0.005	 -0.015
[10:45:01.477]	 -0.025	 -0.045
[10:45:01.484]	 -0.105	 -0.075
[10:45:01.492]	 -0.145	 -0.075
[10:45:01.500]	 -0.185	 -0.075
[10:45:01.508]	 -0.185	 -0.085
[10:45:01.516]	 -0.165	 -0.095
[10:45:01.523]	 -0.195	 -0.085
[10:45:01.531]	 -0.135	 -0.005
[10:45:01.539]	 -0.125	  0.165
[10:45:01.547]	 -0.065	 -0.065
[10:45:01.555]	  0.595	 -0.275
[10:45:01.563]	  1.365	 -0.535
[10:45:01.570]	  0.965	 -0.845
[10:45:01.578]	 -0.315	 -0.745
[10:45:01.586]	 -0.665	 -0.235
[10:45:01.594]	 -0.435	 -0.055
[10:45:01.602]	 -0.175	 -0.065
[10:45:01.609]	 -0.135	 -0.065
[10:45:01.617]	 -0.135	 -0.045
[10:45:01.625]	 -0.165	 -0.045
[10:45:01.633]	 -0.175	 -0.035
[10:45:01.641]	 -0.175	 -0.055
[10:45:01.648]	 -0.175	 -0.025
[10:45:01.656]	 -0.145	 -0.005
[10:45:01.664]	 -0.155	 -0.015
[10:45:01.672]	 -0.155	 -0.025
[10:45:01.680]	 -0.115	 -0.015
[10:45:01.688]	 -0.115	  0.005
[10:45:01.695]	 -0.125	  0.005
[10:45:01.703]	 -0.105	 -0.005
[10:45:01.711]	 -0.115	 -0.005
[10:45:01.719]	 -0.105	  0.005
[10:45:01.727]	 -0.075	  0.015
[10:45:01.734]	 -0.065	 -0.005
[10:45:01.742]	 -0.055	  0.015
[10:45:01.750]	 -0.025	  0.005
[10:45:01.758]	 -0.015	  0.015
[10:45:01.766]	 -0.025	  0.005
[10:45:01.773]	 -0.015	  0.005
[10:45:01.781]	  0.035	  0.025
[10:45:01.789]	  0.045	  0.015
[10:45:01.797]	  0.055	  0.005
[10:45:01.805]	  0.115	  0.025
[10:45:01.813]	  0.115	  0.035
[10:45:01.820]	  0.135	  0.025
[10:45:01.828]	  0.155	  0.005
[10:45:01.836]	  0.145	  0.025
[10:45:01.844]	  0.155	  0.035
[10:45:01.852]	  0.155	  0.025
[10:45:01.859]	  0.115	  0.025
[10:45:01.867]	  0.095	  0.025
[10:45:01.875]	  0.035	  0.035
[10:45:01.883]	 -0.015	  0.025
[10:45:01.891]	 -0.095	 -0.005
[10:45:01.898]	 -0.145	 -0.015
[10:45:01.906]	 -0.165	 -0.015
[10:45:01.914]	 -0.195	 -0.025
[10:45:01.922]	 -0.215	 -0.035
[10:45:01.930]	 -0.215	 -0.035
[10:45:01.938]	 -0.235	 -0.035
[10:45:01.945]	 -0.235	 -0.025
[10:45:01.953]	 -0.225	 -0.045
[10:45:01.961]	 -0.235	 -0.035
[10:45:01.969]	 -0.215	 -0.035
[10:45:01.977]	 -0.215	 -0.045
[10:45:01.984]	 -0.225	 -0.045
[10:45:01.992]	 -0.205	 -0.045
[10:45:02.000]	 -0.215	 -0.035
[10:45:02.008]	 -0.195	 -0.055
[10:45:02.016]	 -0.205	 -0.055
[10:45:02.023]	 -0.215	 -0.055
[10:45:02.031]	 -0.185	 -0.045
[10:45:02.039]	 -0.205	 -0.055
[10:45:02.047]	 -0.205	 -0.075
[10:45:02.055]	 -0.205	 -0.055
[10:45:02.063]	 -0.205	 -0.065
[10:45:02.070]	 -0.215	 -0.085
[10:45:02.078]	 -0.215	 -0.095
[10:45:02.086]	 -0.245	 -0.085
[10:45:02.094]	 -0.225	 -0.075
[10:45:02.102]	 -0.225	 -0.085
[10:45:02.109]	 -0.225	 -0.095
[10:45:02.117]	 -0.215	 -0.095
[10:45:02.125]	 -0.225	 -0.085
[10:45:02.133]	 -0.215	 -0.095
[10:45:02.141]	 -0.235	 -0.105
[10:45:02.148]	 -0.245	 -0.105
[10:45:02.156]	 -0.245	 -0.105
[10:45:02.164]	 -0.225	 -0.105
[10:45:02.172]	 -0.225	 -0.115
[10:45:02.180]	 -0.235	 -0.125
[10:45:02.188]	 -0.215	 -0.105
[10:45:02.195]	 -0.235	 -0.115
[10:45:02.203]	 -0.235	 -0.115
[10:45:02.211]	 -0.245	 -0.115
