     Time	   ECG1	   ECG2
(hh:mm:ss.mmm)	   (mV)	   (mV)
[10:42:00.000]	  0.675	  0.735
[10:42:00.008]	  0.665	  0.735
[10:42:00.016]	  0.655	  0.725
[10:42:00.023]	  0.645	  0.715
[10:42:00.031]	  0.635	  0.705
[10:42:00.039]	  0.625	  0.695
[10:42:00.047]	  0.605	  0.685
[10:42:00.055]	  0.595	  0.665
[10:42:00.063]	  0.585	  0.655
[10:42:00.070]	  0.575	  0.655
[10:42:00.078]	  0.565	  0.645
[10:42:00.086]	  0.555	  0.635
[10:42:00.094]	  0.545	  0.625
[10:42:00.102]	  0.535	  0.615
[10:42:00.109]	  0.515	  0.605
[10:42:00.117]	  0.515	  0.585
[10:42:00.125]	  0.505	  0.575
[10:42:00.133]	  0.495	  0.575
[10:42:00.141]	  0.475	  0.555
[10:42:00.148]	  0.475	  0.555
[10:42:00.156]	  0.475	  0.545
[10:42:00.164]	  0.465	  0.535
[10:42:00.172]	  0.445	  0.525
[10:42:00.180]	  0.445	  0.515
[10:42:00.188]	  0.435	  0.515
[10:42:00.195]	  0.425	  0.495
[10:42:00.203]	  0.415	  0.495
[10:42:00.211]	  0.415	  0.485
[10:42:00.219]	  0.395	  0.475
[10:42:00.227]	  0.395	  0.475
[10:42:00.234]	  0.385	  0.465
[10:42:00.242]	  0.375	  0.445
[10:42:00.250]	  0.365	  0.455
[10:42:00.258]	  0.365	  0.435
[10:42:00.266]	  0.355	  0.425
[10:42:00.273]	  0.345	  0.425
[10:42:00.281]	  0.335	  0.415
[10:42:00.289]	  0.335	  0.415
[10:42:00.297]	  0.315	  0.405
[10:42:00.305]	  0.315	  0.385
[10:42:00.313]	  0.295	  0.385
[10:42:00.320]	  0.295	  0.385
[10:42:00.328]	  0.275	  0.375
[10:42:00.336]	  0.285	  0.365
[10:42:00.344]	  0.275	  0.365
[10:42:00.352]	  0.265	  0.355
[10:42:00.359]	  0.255	  0.345
[10:42:00.367]	  0.255	  0.335
[10:42:00.375]	  0.245	  0.335
[10:42:00.383]	  0.235	  0.325
[10:42:00.391]	  0.225	  0.315
[10:42:00.398]	  0.215	  0.315
[10:42:00.406]	  0.215	  0.315
[10:42:00.414]	  0.205	  0.305
[10:42:00.422]	  0.195	  0.295
[10:42:00.430]	  0.195	  0.285
[10:42:00.438]	  0.185	  0.285
[10:42:00.445]	  0.165	  0.275
[10:42:00.453]	  0.155	  0.265
[10:42:00.461]	  0.135	  0.245
[10:42:00.469]	 -0.375	  0.165
[10:42:00.477]	 -0.955	 -0.725
[10:42:00.484]	 -0.885	 -0.695
[10:42:00.492]	 -0.865	 -0.685
[10:42:00.500]	 -0.855	 -0.665
[10:42:00.508]	 -0.845	 -0.665
[10:42:00.516]	 -0.845	 -0.665
[10:42:00.523]	 -0.835	 -0.655
[10:42:00.531]	 -0.815	 -0.645
[10:42:00.539]	 -0.805	 -0.635
[10:42:00.547]	 -0.805	 -0.635
[10:42:00.555]	 -0.785	 -0.615
[10:42:00.563]	 -0.775	 -0.605
[10:42:00.570]	 -0.775	 -0.595
[10:42:00.578]	 -0.765	 -0.585
[10:42:00.586]	 -0.745	 -0.585
[10:42:00.594]	 -0.735	 -0.565
[10:42:00.602]	 -0.735	 -0.555
[10:42:00.609]	 -0.725	 -0.555
[10:42:00.617]	 -0.705	 -0.545
[10:42:00.625]	 -0.695	 -0.535
[10:42:00.633]	 -0.695	 -0.525
[10:42:00.641]	 -0.685	 -0.515
[10:42:00.648]	 -0.675	 -0.515
[10:42:00.656]	 -0.665	 -0.505
[10:42:00.664]	 -0.655	 -0.495
[10:42:00.672]	 -0.655	 -0.485
[10:42:00.680]	 -0.635	 -0.485
[10:42:00.688]	 -0.625	 -0.475
[10:42:00.695]	 -0.625	 -0.465
[10:42:00.703]	 -0.615	 -0.455
