   Elapsed time	      I	     II	    III	    aVR	    aVF	    aVL	     V1	     V2	     V3	     V4	     V5	     V6
      (seconds)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)
          0.000	 -0.020	  0.060	  0.080	 -0.020	  0.070	 -0.050	 -0.100	 -0.080	 -0.140	 -0.100	 -0.060	 -0.020
          0.002	 -0.020	  0.040	  0.060	 -0.010	  0.050	 -0.040	 -0.100	 -0.080	 -0.120	 -0.095	 -0.055	 -0.030
          0.004	 -0.030	  0.030	  0.060	  0.000	  0.045	 -0.045	 -0.090	 -0.075	 -0.100	 -0.090	 -0.040	 -0.015
          0.006	 -0.030	  0.020	  0.050	  0.005	  0.035	 -0.040	 -0.060	 -0.060	 -0.080	 -0.075	 -0.015	  0.015
          0.008	 -0.030	  0.035	  0.065	  0.000	  0.050	 -0.050	 -0.030	 -0.055	 -0.070	 -0.070	  0.015	  0.035
          0.010	 -0.020	  0.040	  0.060	 -0.010	  0.050	 -0.040	 -0.010	 -0.055	 -0.060	 -0.055	  0.030	  0.035
          0.012	 -0.020	  0.050	  0.070	 -0.015	  0.060	 -0.045	 -0.020	 -0.060	 -0.075	 -0.060	  0.015	  0.015
          0.014	 -0.020	  0.050	  0.070	 -0.015	  0.060	 -0.045	 -0.050	 -0.060	 -0.095	 -0.075	 -0.015	  0.000
          0.016	 -0.020	  0.050	  0.070	 -0.015	  0.060	 -0.045	 -0.075	 -0.070	 -0.115	 -0.095	 -0.035	 -0.015
          0.018	 -0.030	  0.050	  0.080	 -0.010	  0.065	 -0.055	 -0.075	 -0.075	 -0.115	 -0.095	 -0.040	 -0.015
          0.020	 -0.035	  0.040	  0.075	  0.000	  0.060	 -0.055	 -0.070	 -0.075	 -0.100	 -0.080	 -0.035	 -0.015
          0.022	 -0.040	  0.040	  0.080	  0.000	  0.060	 -0.060	 -0.055	 -0.070	 -0.090	 -0.075	 -0.020	 -0.010
          0.024	 -0.040	  0.040	  0.080	  0.000	  0.060	 -0.060	 -0.040	 -0.060	 -0.080	 -0.070	  0.000	  0.010
          0.026	 -0.040	  0.035	  0.075	  0.000	  0.055	 -0.060	 -0.030	 -0.060	 -0.080	 -0.070	  0.010	  0.015
          0.028	 -0.040	  0.035	  0.075	  0.000	  0.055	 -0.060	 -0.030	 -0.070	 -0.090	 -0.060	 -0.010	  0.010
          0.030	 -0.050	  0.035	  0.085	  0.005	  0.060	 -0.070	 -0.040	 -0.075	 -0.100	 -0.070	 -0.030	 -0.010
          0.032	 -0.055	  0.040	  0.095	  0.005	  0.070	 -0.075	 -0.060	 -0.075	 -0.120	 -0.080	 -0.050	 -0.020
          0.034	 -0.060	  0.040	  0.100	  0.010	  0.070	 -0.080	 -0.075	 -0.075	 -0.130	 -0.095	 -0.050	 -0.020
          0.036	 -0.055	  0.040	  0.095	  0.005	  0.070	 -0.075	 -0.075	 -0.070	 -0.120	 -0.100	 -0.040	 -0.020
          0.038	 -0.050	  0.050	  0.100	  0.000	  0.075	 -0.075	 -0.070	 -0.070	 -0.100	 -0.090	 -0.030	 -0.015
          0.040	 -0.035	  0.050	  0.085	 -0.005	  0.070	 -0.060	 -0.050	 -0.060	 -0.075	 -0.075	 -0.010	  0.000
          0.042	 -0.030	  0.040	  0.070	 -0.005	  0.055	 -0.050	 -0.035	 -0.060	 -0.060	 -0.055	  0.010	  0.020
          0.044	 -0.020	  0.035	  0.055	 -0.005	  0.045	 -0.040	 -0.030	 -0.070	 -0.075	 -0.060	  0.000	  0.015
          0.046	 -0.020	  0.035	  0.055	 -0.005	  0.045	 -0.040	 -0.040	 -0.075	 -0.100	 -0.070	 -0.030	 -0.010
          0.048	 -0.020	  0.040	  0.060	 -0.010	  0.050	 -0.040	 -0.070	 -0.090	 -0.130	 -0.090	 -0.060	 -0.035
          0.050	 -0.020	  0.035	  0.055	 -0.005	  0.045	 -0.040	 -0.090	 -0.095	 -0.135	 -0.100	 -0.075	 -0.040
          0.052	 -0.020	  0.030	  0.050	 -0.005	  0.040	 -0.035	 -0.100	 -0.100	 -0.140	 -0.110	 -0.075	 -0.035
          0.054	 -0.020	  0.030	  0.050	 -0.005	  0.040	 -0.035	 -0.095	 -0.095	 -0.130	 -0.110	 -0.060	 -0.020
          0.056	 -0.020	  0.035	  0.055	 -0.005	  0.045	 -0.040	 -0.070	 -0.080	 -0.110	 -0.095	 -0.035	  0.000
          0.058	 -0.030	  0.035	  0.065	  0.000	  0.050	 -0.050	 -0.035	 -0.070	 -0.075	 -0.080	 -0.010	  0.020
          0.060	 -0.030	  0.035	  0.065	  0.000	  0.050	 -0.050	 -0.010	 -0.060	 -0.070	 -0.070	  0.010	  0.020
          0.062	 -0.035	  0.035	  0.070	  0.000	  0.055	 -0.055	 -0.020	 -0.060	 -0.080	 -0.070	 -0.015	  0.010
          0.064	 -0.035	  0.035	  0.070	  0.000	  0.055	 -0.055	 -0.055	 -0.070	 -0.115	 -0.080	 -0.050	 -0.015
          0.066	 -0.040	  0.030	  0.070	  0.005	  0.050	 -0.055	 -0.080	 -0.075	 -0.135	 -0.100	 -0.075	 -0.030
          0.068	 -0.040	  0.020	  0.060	  0.010	  0.040	 -0.050	 -0.095	 -0.080	 -0.135	 -0.115	 -0.075	 -0.035
          0.070	 -0.050	  0.020	  0.070	  0.015	  0.045	 -0.060	 -0.090	 -0.075	 -0.130	 -0.115	 -0.060	 -0.035
          0.072	 -0.055	  0.020	  0.075	  0.015	  0.050	 -0.065	 -0.075	 -0.070	 -0.110	 -0.100	 -0.040	 -0.015
          0.074	 -0.055	  0.020	  0.075	  0.015	  0.050	 -0.065	 -0.050	 -0.060	 -0.095	 -0.080	 -0.020	  0.010
