   Elapsed time	      I	     II	    III	    aVR	    aVF	    aVL	     V1	     V2	     V3	     V4	     V5	     V6
   hh:mm:ss.mmm	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)
       0:00.000	  0.020	  0.060	  0.040	 -0.040	  0.050	 -0.010	  0.980	-80.000	  0.300	-81.580	 -0.120	-80.000
       0:00.002	  0.020	  0.060	  0.040	 -0.040	  0.050	 -0.010	  1.115	-80.000	  0.295	-81.580	 -0.130	-80.000
       0:00.004	  0.020	  0.060	  0.040	 -0.040	  0.050	 -0.010	  1.295	-80.000	  0.280	-81.580	 -0.135	-80.000
       0:00.006	  0.020	  0.060	  0.040	 -0.040	  0.050	 -0.010	  1.440	-80.000	  0.255	-81.580	 -0.150	-80.000
       0:00.008	  0.015	  0.055	  0.040	 -0.035	  0.045	 -0.015	  1.560	-80.000	  0.230	-49.955	 -0.160	-80.000
       0:00.010	  0.000	  0.050	  0.050	 -0.025	  0.050	 -0.025	  1.570	-80.000	  0.195	-17.835	 -0.175	-80.000
       0:00.012	 -0.010	  0.035	  0.045	 -0.010	  0.040	 -0.030	  1.520	-80.000	  0.170	 13.610	 -0.190	-80.000
       0:00.014	 -0.010	  0.030	  0.040	 -0.010	  0.035	 -0.025	  1.475	-80.000	  0.140	 11.050	 -0.195	-80.000
       0:00.016	  0.000	  0.010	  0.010	 -0.005	  0.010	 -0.005	  1.450	-80.000	  0.130	  7.040	 -0.200	-80.000
       0:00.018	 -0.010	 -0.010	  0.000	  0.010	 -0.005	 -0.005	  1.440	-80.000	  0.120	  3.655	 -0.210	-80.000
       0:00.020	 -0.015	 -0.015	  0.000	  0.015	 -0.005	 -0.005	  1.435	-80.000	  0.115	  1.980	 -0.215	-80.000
       0:00.022	 -0.020	 -0.010	  0.010	  0.015	  0.000	 -0.015	  1.415	-80.000	  0.110	  0.860	 -0.220	-80.000
       0:00.024	 -0.020	  0.000	  0.020	  0.010	  0.010	 -0.020	  1.400	-80.000	  0.100	 -0.270	 -0.230	-80.000
       0:00.026	 -0.020	 -0.010	  0.010	  0.015	  0.000	 -0.015	  1.350	-80.000	  0.095	 -0.710	 -0.235	-80.000
       0:00.028	 -0.030	 -0.020	  0.010	  0.025	 -0.005	 -0.020	  1.240	-80.000	  0.095	 -0.670	 -0.240	-80.000
       0:00.030	 -0.035	 -0.030	  0.005	  0.030	 -0.010	 -0.020	  1.115	-80.000	  0.090	 -0.560	 -0.240	-80.000
       0:00.032	 -0.040	 -0.030	  0.010	  0.035	 -0.010	 -0.025	  1.035	-80.000	  0.090	 -0.550	 -0.250	-80.000
       0:00.034	 -0.040	 -0.030	  0.010	  0.035	 -0.010	 -0.025	  1.000	-80.000	  0.080	 -0.595	 -0.255	-80.000
       0:00.036	 -0.040	 -0.035	  0.005	  0.035	 -0.015	 -0.020	  0.980	-80.000	  0.090	 -0.595	 -0.260	-80.000
       0:00.038	 -0.040	 -0.040	  0.000	  0.040	 -0.020	 -0.020	  0.980	-80.000	  0.095	 -0.580	 -0.260	-80.000
       0:00.040	 -0.040	 -0.050	 -0.010	  0.045	 -0.030	 -0.015	  1.050	-80.000	  0.100	 -0.690	 -0.260	-80.000
       0:00.042	 -0.040	 -0.055	 -0.015	  0.045	 -0.035	 -0.010	  1.140	-80.000	  0.100	 -0.830	 -0.260	-80.000
       0:00.044	 -0.050	 -0.060	 -0.010	  0.055	 -0.035	 -0.020	  1.215	-80.000	  0.100	 -0.810	 -0.270	-80.000
       0:00.046	 -0.055	 -0.060	 -0.005	  0.055	 -0.030	 -0.025	  1.250	-80.000	  0.095	 -0.650	 -0.280	-80.000
       0:00.048	 -0.070	 -0.060	  0.010	  0.065	 -0.025	 -0.040	  1.280	-80.000	  0.095	 -0.555	 -0.295	-80.000
       0:00.050	 -0.070	 -0.060	  0.010	  0.065	 -0.025	 -0.040	  1.360	-80.000	  0.090	 -0.595	 -0.300	-80.000
