   Elapsed time	      I	     II	    III	    aVR	    aVF	    aVL	     V1	     V2	     V3	     V4	     V5	     V6
   hh:mm:ss.mmm	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)
       0:00.000	  0.180	  0.320	  0.140	 -0.250	  0.230	  0.020	 -0.220	  0.320	  0.340	  0.520	  0.540	  0.440
       0:00.002	  0.155	  0.300	  0.145	 -0.225	  0.220	  0.005	 -0.215	  0.335	  0.330	  0.515	  0.510	  0.440
       0:00.004	  0.140	  0.275	  0.135	 -0.205	  0.205	  0.000	 -0.215	  0.350	  0.330	  0.510	  0.495	  0.435
       0:00.006	  0.135	  0.240	  0.105	 -0.185	  0.170	  0.015	 -0.215	  0.355	  0.335	  0.515	  0.490	  0.430
       0:00.008	  0.140	  0.215	  0.075	 -0.175	  0.145	  0.030	 -0.210	  0.370	  0.340	  0.515	  0.495	  0.420
       0:00.010	  0.140	  0.210	  0.070	 -0.175	  0.140	  0.035	 -0.195	  0.380	  0.355	  0.520	  0.490	  0.420
       0:00.012	  0.150	  0.220	  0.070	 -0.185	  0.145	  0.040	 -0.180	  0.395	  0.390	  0.515	  0.490	  0.415
       0:00.014	  0.160	  0.235	  0.075	 -0.195	  0.155	  0.040	 -0.180	  0.400	  0.435	  0.510	  0.480	  0.400
       0:00.016	  0.170	  0.240	  0.070	 -0.205	  0.155	  0.050	 -0.175	  0.395	  0.470	  0.495	  0.475	  0.390
       0:00.018	  0.170	  0.235	  0.065	 -0.200	  0.150	  0.050	 -0.175	  0.380	  0.480	  0.490	  0.475	  0.390
       0:00.020	  0.150	  0.230	  0.080	 -0.190	  0.155	  0.035	 -0.175	  0.360	  0.475	  0.470	  0.460	  0.395
       0:00.022	  0.135	  0.220	  0.085	 -0.175	  0.150	  0.025	 -0.175	  0.350	  0.470	  0.455	  0.455	  0.395
       0:00.024	  0.120	  0.220	  0.100	 -0.170	  0.160	  0.010	 -0.170	  0.340	  0.455	  0.435	  0.435	  0.380
       0:00.026	  0.120	  0.215	  0.095	 -0.165	  0.155	  0.010	 -0.155	  0.355	  0.450	  0.430	  0.435	  0.370
