   Elapsed time	      I	     II	    III	    aVR	    aVF	    aVL	     V1	     V2	     V3	     V4	     V5	     V6
   hh:mm:ss.mmm	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)
       0:00.000	 -0.020	 -0.040	 -0.020	  0.030	 -0.030	  0.000	  0.100	  0.180	  0.340	  0.020	 -0.040	 -0.040
       0:00.002	 -0.020	 -0.020	  0.000	  0.020	 -0.010	 -0.010	  0.100	  0.170	  0.295	 -0.010	 -0.050	 -0.050
       0:00.004	 -0.020	 -0.020	  0.000	  0.020	 -0.010	 -0.010	  0.100	  0.160	  0.270	 -0.020	 -0.050	 -0.050
       0:00.006	 -0.020	 -0.015	  0.005	  0.015	 -0.005	 -0.010	  0.095	  0.155	  0.255	 -0.030	 -0.050	 -0.040
       0:00.008	 -0.020	  0.000	  0.020	  0.010	  0.010	 -0.020	  0.090	  0.140	  0.240	 -0.035	 -0.050	 -0.040
       0:00.010	 -0.015	  0.015	  0.030	  0.000	  0.025	 -0.025	  0.080	  0.120	  0.230	 -0.050	 -0.055	 -0.040
       0:00.012	 -0.010	  0.010	  0.020	  0.000	  0.015	 -0.015	  0.080	  0.115	  0.220	 -0.055	 -0.060	 -0.040
       0:00.014	 -0.010	  0.010	  0.020	  0.000	  0.015	 -0.015	  0.075	  0.110	  0.220	 -0.060	 -0.055	 -0.035
       0:00.016	 -0.015	  0.020	  0.035	  0.000	  0.030	 -0.025	  0.075	  0.110	  0.210	 -0.060	 -0.055	 -0.035
       0:00.018	 -0.015	  0.035	  0.050	 -0.010	  0.045	 -0.035	  0.070	  0.110	  0.190	 -0.060	 -0.055	 -0.035
       0:00.020	 -0.010	  0.040	  0.050	 -0.015	  0.045	 -0.030	  0.075	  0.115	  0.170	 -0.070	 -0.060	 -0.040
       0:00.022	  0.000	  0.040	  0.040	 -0.020	  0.040	 -0.020	  0.070	  0.120	  0.160	 -0.070	 -0.060	 -0.040
       0:00.024	  0.000	  0.035	  0.035	 -0.015	  0.035	 -0.020	  0.075	  0.120	  0.170	 -0.070	 -0.055	 -0.035
       0:00.026	 -0.010	  0.030	  0.040	 -0.010	  0.035	 -0.025	  0.080	  0.130	  0.180	 -0.055	 -0.050	 -0.030
       0:00.028	 -0.015	  0.020	  0.035	  0.000	  0.030	 -0.025	  0.095	  0.135	  0.195	 -0.055	 -0.040	 -0.015
       0:00.030	 -0.020	  0.020	  0.040	  0.000	  0.030	 -0.030	  0.100	  0.140	  0.200	 -0.055	 -0.040	 -0.015
       0:00.032	 -0.020	  0.030	  0.050	 -0.005	  0.040	 -0.035	  0.100	  0.150	  0.200	 -0.060	 -0.050	 -0.015
       0:00.034	 -0.020	  0.035	  0.055	 -0.005	  0.045	 -0.040	  0.100	  0.150	  0.195	 -0.070	 -0.055	 -0.020
       0:00.036	 -0.020	  0.020	  0.040	  0.000	  0.030	 -0.030	  0.100	  0.150	  0.190	 -0.060	 -0.055	 -0.010
       0:00.038	 -0.020	  0.000	  0.020	  0.010	  0.010	 -0.020	  0.100	  0.150	  0.180	 -0.055	 -0.050	  0.000
       0:00.040	 -0.020	  0.010	  0.030	  0.005	  0.020	 -0.025	  0.095	  0.140	  0.190	 -0.050	 -0.050	 -0.010
       0:00.042	 -0.020	  0.050	  0.070	 -0.015	  0.060	 -0.045	  0.080	  0.135	  0.190	 -0.060	 -0.060	 -0.030
       0:00.044	 -0.015	  0.075	  0.090	 -0.030	  0.085	 -0.055	  0.070	  0.120	  0.195	 -0.075	 -0.075	 -0.040
       0:00.046	 -0.010	  0.060	  0.070	 -0.025	  0.065	 -0.040	  0.070	  0.135	  0.200	 -0.070	 -0.070	 -0.030
       0:00.048	 -0.010	  0.035	  0.045	 -0.010	  0.040	 -0.030	  0.075	  0.140	  0.215	 -0.055	 -0.055	 -0.020
       0:00.050	 -0.010	  0.020	  0.030	 -0.005	  0.025	 -0.020	  0.080	  0.150	  0.220	 -0.040	 -0.040	 -0.015
       0:00.052	  0.000	  0.020	  0.020	 -0.010	  0.020	 -0.010	  0.075	  0.140	  0.220	 -0.040	 -0.040	 -0.020
       0:00.054	  0.010	  0.030	  0.020	 -0.020	  0.025	 -0.005	  0.070	  0.135	  0.220	 -0.040	 -0.040	 -0.020
       0:00.056	  0.010	  0.035	  0.025	 -0.020	  0.030	 -0.010	  0.060	  0.135	  0.230	 -0.040	 -0.040	 -0.020
       0:00.058	 -0.010	  0.050	  0.060	 -0.020	  0.055	 -0.035	  0.060	  0.135	  0.240	 -0.040	 -0.050	 -0.015
       0:00.060	 -0.010	  0.055	  0.065	 -0.020	  0.060	 -0.040	  0.055	  0.135	  0.240	 -0.040	 -0.055	 -0.015
       0:00.062	 -0.010	  0.060	  0.070	 -0.025	  0.065	 -0.040	  0.050	  0.120	  0.230	 -0.050	 -0.060	 -0.015
       0:00.064	  0.000	  0.055	  0.055	 -0.025	  0.055	 -0.030	  0.050	  0.100	  0.210	 -0.055	 -0.060	 -0.020
       0:00.066	 -0.010	  0.050	  0.060	 -0.020	  0.055	 -0.035	  0.050	  0.095	  0.200	 -0.060	 -0.070	 -0.020
       0:00.068	 -0.015	  0.040	  0.055	 -0.010	  0.050	 -0.035	  0.040	  0.090	  0.195	 -0.060	 -0.075	 -0.030
       0:00.070	 -0.020	  0.030	  0.050	 -0.005	  0.040	 -0.035	  0.035	  0.095	  0.190	 -0.060	 -0.075	 -0.030
       0:00.072	 -0.020	  0.010	  0.030	  0.005	  0.020	 -0.025	  0.040	  0.095	  0.195	 -0.055	 -0.060	 -0.030
       0:00.074	 -0.030	 -0.015	  0.015	  0.020	  0.000	 -0.020	  0.055	  0.100	  0.210	 -0.050	 -0.055	 -0.020
       0:00.076	 -0.030	 -0.020	  0.010	  0.025	 -0.005	 -0.020	  0.060	  0.100	  0.220	 -0.040	 -0.060	 -0.030
       0:00.078	 -0.030	 -0.020	  0.010	  0.025	 -0.005	 -0.020	  0.070	  0.110	  0.220	 -0.050	 -0.075	 -0.035
       0:00.080	 -0.020	 -0.015	  0.005	  0.015	 -0.005	 -0.010	  0.060	  0.110	  0.215	 -0.060	 -0.090	 -0.050
       0:00.082	 -0.030	 -0.010	  0.020	  0.020	  0.005	 -0.025	  0.055	  0.100	  0.200	 -0.075	 -0.095	 -0.055
       0:00.084	 -0.035	 -0.015	  0.020	  0.025	  0.005	 -0.025	  0.050	  0.095	  0.195	 -0.075	 -0.100	 -0.060
       0:00.086	 -0.035	 -0.030	  0.005	  0.030	 -0.010	 -0.020	  0.055	  0.095	  0.195	 -0.075	 -0.100	 -0.070
       0:00.088	 -0.035	 -0.035	  0.000	  0.035	 -0.015	 -0.015	  0.070	  0.100	  0.200	 -0.075	 -0.100	 -0.075
       0:00.090	 -0.035	 -0.020	  0.015	  0.025	  0.000	 -0.025	  0.070	  0.095	  0.200	 -0.080	 -0.100	 -0.080
       0:00.092	 -0.040	 -0.010	  0.030	  0.025	  0.010	 -0.035	  0.070	  0.095	  0.210	 -0.090	 -0.110	 -0.080
       0:00.094	 -0.050	 -0.015	  0.035	  0.030	  0.010	 -0.040	  0.070	  0.100	  0.215	 -0.090	 -0.115	 -0.080
       0:00.096	 -0.050	 -0.035	  0.015	  0.040	 -0.010	 -0.030	  0.080	  0.120	  0.230	 -0.090	 -0.115	 -0.075
       0:00.098	 -0.050	 -0.050	  0.000	  0.050	 -0.025	 -0.025	  0.090	  0.130	  0.230	 -0.080	 -0.115	 -0.075
       0:00.100	 -0.040	 -0.050	 -0.010	  0.045	 -0.030	 -0.015	  0.090	  0.130	  0.230	 -0.080	 -0.110	 -0.075
       0:00.102	 -0.040	 -0.040	  0.000	  0.040	 -0.020	 -0.020	  0.075	  0.115	  0.215	 -0.090	 -0.115	 -0.080
       0:00.104	 -0.050	 -0.030	  0.020	  0.040	 -0.005	 -0.035	  0.070	  0.110	  0.200	 -0.095	 -0.115	 -0.090
       0:00.106	 -0.055	 -0.020	  0.035	  0.035	  0.010	 -0.045	  0.060	  0.100	  0.195	 -0.100	 -0.130	 -0.095
       0:00.108	 -0.060	 -0.020	  0.040	  0.040	  0.010	 -0.050	  0.070	  0.110	  0.200	 -0.095	 -0.135	 -0.100
       0:00.110	 -0.060	 -0.030	  0.030	  0.045	  0.000	 -0.045	  0.070	  0.110	  0.215	 -0.095	 -0.140	 -0.100
       0:00.112	 -0.055	 -0.020	  0.035	  0.035	  0.010	 -0.045	  0.070	  0.110	  0.220	 -0.090	 -0.135	 -0.095
       0:00.114	 -0.040	 -0.015	  0.025	  0.025	  0.005	 -0.030	  0.060	  0.100	  0.230	 -0.090	 -0.130	 -0.080
       0:00.116	 -0.035	 -0.020	  0.015	  0.025	  0.000	 -0.025	  0.070	  0.110	  0.235	 -0.075	 -0.115	 -0.075
       0:00.118	 -0.035	 -0.030	  0.005	  0.030	 -0.010	 -0.020	  0.075	  0.115	  0.235	 -0.070	 -0.110	 -0.075
       0:00.120	 -0.050	 -0.030	  0.020	  0.040	 -0.005	 -0.035	  0.080	  0.120	  0.230	 -0.070	 -0.100	 -0.080
       0:00.122	 -0.050	 -0.020	  0.030	  0.035	  0.005	 -0.040	  0.075	  0.115	  0.220	 -0.075	 -0.110	 -0.080
       0:00.124	 -0.040	 -0.020	  0.020	  0.030	  0.000	 -0.030	  0.070	  0.110	  0.230	 -0.075	 -0.110	 -0.075
       0:00.126	 -0.020	 -0.015	  0.005	  0.015	 -0.005	 -0.010	  0.060	  0.110	  0.240	 -0.070	 -0.110	 -0.070
       0:00.128	 -0.010	  0.015	  0.025	  0.000	  0.020	 -0.020	  0.055	  0.110	  0.250	 -0.060	 -0.100	 -0.060
       0:00.130	  0.000	  0.060	  0.060	 -0.030	  0.060	 -0.030	  0.040	  0.100	  0.235	 -0.070	 -0.110	 -0.070
       0:00.132	  0.000	  0.090	  0.090	 -0.045	  0.090	 -0.045	  0.035	  0.095	  0.215	 -0.070	 -0.110	 -0.075
       0:00.134	  0.000	  0.060	  0.060	 -0.030	  0.060	 -0.030	  0.040	  0.100	  0.210	 -0.055	 -0.095	 -0.060
       0:00.136	  0.010	  0.010	  0.000	 -0.010	  0.005	  0.005	  0.055	  0.115	  0.215	 -0.040	 -0.075	 -0.040
       0:00.138	  0.020	 -0.010	 -0.030	 -0.005	 -0.020	  0.025	  0.055	  0.110	  0.210	 -0.035	 -0.070	 -0.030
       0:00.140	  0.030	  0.015	 -0.015	 -0.020	  0.000	  0.020	  0.040	  0.090	  0.195	 -0.050	 -0.080	 -0.050
       0:00.142	  0.020	  0.020	  0.000	 -0.020	  0.010	  0.010	  0.030	  0.075	  0.190	 -0.055	 -0.090	 -0.060
       0:00.144	  0.015	  0.000	 -0.015	 -0.005	 -0.010	  0.015	  0.020	  0.080	  0.195	 -0.055	 -0.080	 -0.060
       0:00.146	  0.015	 -0.020	 -0.035	  0.000	 -0.030	  0.025	  0.020	  0.090	  0.195	 -0.055	 -0.075	 -0.050
       0:00.148	  0.020	 -0.020	 -0.040	  0.000	 -0.030	  0.030	  0.030	  0.090	  0.190	 -0.055	 -0.075	 -0.040
       0:00.150	  0.015	 -0.010	 -0.025	  0.000	 -0.020	  0.020	  0.035	  0.075	  0.170	 -0.070	 -0.090	 -0.050
       0:00.152	  0.000	  0.010	  0.010	 -0.005	  0.010	 -0.005	  0.040	  0.070	  0.160	 -0.075	 -0.090	 -0.055
       0:00.154	 -0.020	  0.015	  0.035	  0.000	  0.025	 -0.030	  0.040	  0.060	  0.155	 -0.075	 -0.090	 -0.060
       0:00.156	 -0.030	  0.015	  0.045	  0.005	  0.030	 -0.040	  0.035	  0.060	  0.155	 -0.075	 -0.080	 -0.060
       0:00.158	 -0.020	  0.040	  0.060	 -0.010	  0.050	 -0.040	  0.020	  0.055	  0.140	 -0.080	 -0.095	 -0.070
       0:00.160	 -0.015	  0.070	  0.085	 -0.025	  0.080	 -0.050	  0.020	  0.055	  0.135	 -0.095	 -0.110	 -0.075
       0:00.162	 -0.020	  0.060	  0.080	 -0.020	  0.070	 -0.050	  0.030	  0.055	  0.140	 -0.095	 -0.115	 -0.075
       0:00.164	 -0.035	  0.000	  0.035	  0.015	  0.020	 -0.035	  0.050	  0.070	  0.160	 -0.090	 -0.100	 -0.070
       0:00.166	 -0.050	 -0.050	  0.000	  0.050	 -0.025	 -0.025	  0.055	  0.070	  0.160	 -0.090	 -0.090	 -0.060
       0:00.168	 -0.055	 -0.070	 -0.015	  0.060	 -0.040	 -0.020	  0.070	  0.070	  0.155	 -0.095	 -0.090	 -0.070
       0:00.170	 -0.060	 -0.060	  0.000	  0.060	 -0.030	 -0.030	  0.075	  0.070	  0.135	 -0.100	 -0.095	 -0.075
       0:00.172	 -0.060	 -0.055	  0.005	  0.055	 -0.025	 -0.030	  0.080	  0.075	  0.130	 -0.110	 -0.100	 -0.080
       0:00.174	 -0.055	 -0.035	  0.020	  0.045	 -0.005	 -0.035	  0.080	  0.080	  0.120	 -0.115	 -0.110	 -0.080
       0:00.176	 -0.055	 -0.020	  0.035	  0.035	  0.010	 -0.045	  0.080	  0.080	  0.130	 -0.120	 -0.115	 -0.080
       0:00.178	 -0.055	 -0.010	  0.045	  0.030	  0.020	 -0.050	  0.080	  0.080	  0.135	 -0.120	 -0.120	 -0.090
       0:00.180	 -0.060	 -0.015	  0.045	  0.035	  0.015	 -0.050	  0.080	  0.080	  0.140	 -0.115	 -0.120	 -0.090
       0:00.182	 -0.060	 -0.020	  0.040	  0.040	  0.010	 -0.050	  0.090	  0.080	  0.140	 -0.110	 -0.115	 -0.090
