   Elapsed time	      I	     II	    III	    aVR	    aVF	    aVL	     V1	     V2	     V3	     V4	     V5	     V6
      (seconds)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)
          0.000	 -0.040	  0.000	  0.040	  0.020	  0.020	 -0.040	  0.080	  0.040	  0.040	 -0.040	 -0.060	 -0.080
          0.002	 -0.040	  0.010	  0.050	  0.015	  0.030	 -0.045	  0.075	  0.040	  0.040	 -0.040	 -0.070	 -0.080
          0.004	 -0.035	  0.020	  0.055	  0.005	  0.040	 -0.045	  0.075	  0.050	  0.040	 -0.040	 -0.075	 -0.080
          0.006	 -0.030	  0.020	  0.050	  0.005	  0.035	 -0.040	  0.080	  0.055	  0.040	 -0.050	 -0.090	 -0.090
          0.008	 -0.030	  0.010	  0.040	  0.010	  0.025	 -0.035	  0.075	  0.055	  0.040	 -0.055	 -0.095	 -0.100
          0.010	 -0.030	  0.000	  0.030	  0.015	  0.015	 -0.030	  0.075	  0.050	  0.040	 -0.060	 -0.100	 -0.110
          0.012	 -0.030	  0.015	  0.045	  0.005	  0.030	 -0.040	  0.080	  0.040	  0.040	 -0.060	 -0.100	 -0.110
          0.014	 -0.020	  0.030	  0.050	 -0.005	  0.040	 -0.035	  0.090	  0.040	  0.040	 -0.060	 -0.095	 -0.095
          0.016	 -0.020	  0.020	  0.040	  0.000	  0.030	 -0.030	  0.080	  0.050	  0.040	 -0.060	 -0.090	 -0.090
          0.018	 -0.020	  0.000	  0.020	  0.010	  0.010	 -0.020	  0.075	  0.055	  0.050	 -0.055	 -0.080	 -0.080
          0.020	 -0.020	 -0.010	  0.010	  0.015	  0.000	 -0.015	  0.080	  0.055	  0.055	 -0.050	 -0.075	 -0.075
          0.022	 -0.020	  0.000	  0.020	  0.010	  0.010	 -0.020	  0.095	  0.050	  0.060	 -0.035	 -0.070	 -0.070
          0.024	 -0.015	  0.015	  0.030	  0.000	  0.025	 -0.025	  0.095	  0.040	  0.060	 -0.030	 -0.070	 -0.070
          0.026	 -0.010	  0.020	  0.030	 -0.005	  0.025	 -0.020	  0.090	  0.050	  0.060	 -0.030	 -0.075	 -0.075
          0.028	  0.010	  0.030	  0.020	 -0.020	  0.025	 -0.005	  0.090	  0.055	  0.060	 -0.030	 -0.080	 -0.090
          0.030	  0.015	  0.050	  0.035	 -0.030	  0.040	 -0.010	  0.095	  0.060	  0.070	 -0.030	 -0.075	 -0.090
          0.032	  0.015	  0.060	  0.045	 -0.035	  0.050	 -0.015	  0.095	  0.060	  0.070	 -0.020	 -0.075	 -0.090
          0.034	  0.010	  0.060	  0.050	 -0.035	  0.055	 -0.020	  0.095	  0.060	  0.075	 -0.020	 -0.070	 -0.080
          0.036	  0.010	  0.050	  0.040	 -0.030	  0.045	 -0.015	  0.095	  0.060	  0.075	 -0.030	 -0.070	 -0.080
          0.038	 -0.015	  0.020	  0.035	  0.000	  0.030	 -0.025	  0.100	  0.055	  0.075	 -0.040	 -0.070	 -0.090
          0.040	 -0.050	 -0.020	  0.030	  0.035	  0.005	 -0.040	  0.090	  0.040	  0.060	 -0.060	 -0.080	 -0.095
          0.042	 -0.075	 -0.050	  0.025	  0.060	 -0.010	 -0.050	  0.080	  0.030	  0.050	 -0.070	 -0.090	 -0.100
          0.044	 -0.070	 -0.050	  0.020	  0.060	 -0.015	 -0.045	  0.075	  0.020	  0.050	 -0.070	 -0.090	 -0.100
          0.046	 -0.055	 -0.035	  0.020	  0.045	 -0.005	 -0.035	  0.090	  0.035	  0.060	 -0.055	 -0.075	 -0.095
          0.048	 -0.060	 -0.030	  0.030	  0.045	  0.000	 -0.045	  0.095	  0.040	  0.070	 -0.055	 -0.075	 -0.090
          0.050	 -0.070	 -0.030	  0.040	  0.050	  0.005	 -0.055	  0.100	  0.050	  0.070	 -0.050	 -0.070	 -0.080
          0.052	 -0.055	 -0.010	  0.045	  0.030	  0.020	 -0.050	  0.100	  0.050	  0.070	 -0.050	 -0.060	 -0.070
          0.054	 -0.030	  0.015	  0.045	  0.005	  0.030	 -0.040	  0.110	  0.055	  0.075	 -0.040	 -0.050	 -0.055
          0.056	 -0.015	  0.035	  0.050	 -0.010	  0.045	 -0.035	  0.115	  0.060	  0.080	 -0.050	 -0.050	 -0.050
          0.058	 -0.015	  0.035	  0.050	 -0.010	  0.045	 -0.035	  0.120	  0.060	  0.075	 -0.050	 -0.055	 -0.060
          0.060	 -0.020	  0.020	  0.040	  0.000	  0.030	 -0.030	  0.120	  0.070	  0.075	 -0.050	 -0.060	 -0.075
          0.062	 -0.020	  0.000	  0.020	  0.010	  0.010	 -0.020	  0.120	  0.070	  0.070	 -0.050	 -0.070	 -0.080
          0.064	 -0.020	 -0.015	  0.005	  0.015	 -0.005	 -0.010	  0.130	  0.075	  0.075	 -0.055	 -0.075	 -0.090
          0.066	 -0.030	 -0.020	  0.010	  0.025	 -0.005	 -0.020	  0.135	  0.080	  0.075	 -0.070	 -0.090	 -0.090
          0.068	 -0.040	 -0.035	  0.005	  0.035	 -0.015	 -0.020	  0.150	  0.090	  0.075	 -0.075	 -0.090	 -0.090
          0.070	 -0.055	 -0.050	  0.005	  0.050	 -0.020	 -0.030	  0.155	  0.090	  0.070	 -0.080	 -0.080	 -0.080
          0.072	 -0.060	 -0.055	  0.005	  0.055	 -0.025	 -0.030	  0.155	  0.080	  0.060	 -0.075	 -0.070	 -0.075
          0.074	 -0.055	 -0.040	  0.015	  0.045	 -0.010	 -0.035	  0.140	  0.080	  0.060	 -0.070	 -0.070	 -0.070
          0.076	 -0.050	 -0.030	  0.020	  0.040	 -0.005	 -0.035	  0.130	  0.075	  0.060	 -0.070	 -0.070	 -0.060
          0.078	 -0.040	 -0.020	  0.020	  0.030	  0.000	 -0.030	  0.130	  0.075	  0.060	 -0.075	 -0.070	 -0.060
          0.080	 -0.040	 -0.020	  0.020	  0.030	  0.000	 -0.030	  0.135	  0.070	  0.060	 -0.080	 -0.070	 -0.070
          0.082	 -0.040	 -0.020	  0.020	  0.030	  0.000	 -0.030	  0.135	  0.070	  0.060	 -0.080	 -0.075	 -0.075
          0.084	 -0.035	 -0.015	  0.020	  0.025	  0.005	 -0.025	  0.140	  0.075	  0.060	 -0.075	 -0.075	 -0.075
          0.086	 -0.020	  0.000	  0.020	  0.010	  0.010	 -0.020	  0.150	  0.090	  0.060	 -0.070	 -0.070	 -0.070
          0.088	 -0.010	  0.015	  0.025	  0.000	  0.020	 -0.020	  0.155	  0.095	  0.060	 -0.060	 -0.070	 -0.070
          0.090	 -0.010	  0.020	  0.030	 -0.005	  0.025	 -0.020	  0.150	  0.090	  0.055	 -0.070	 -0.075	 -0.070
          0.092	 -0.030	  0.015	  0.045	  0.005	  0.030	 -0.040	  0.140	  0.080	  0.050	 -0.075	 -0.090	 -0.075
          0.094	 -0.050	  0.000	  0.050	  0.025	  0.025	 -0.050	  0.150	  0.080	  0.040	 -0.080	 -0.090	 -0.075
          0.096	 -0.055	 -0.015	  0.040	  0.035	  0.015	 -0.045	  0.155	  0.080	  0.040	 -0.090	 -0.090	 -0.080
          0.098	 -0.050	 -0.015	  0.035	  0.030	  0.010	 -0.040	  0.160	  0.080	  0.040	 -0.095	 -0.090	 -0.080
          0.100	 -0.050	 -0.015	  0.035	  0.030	  0.010	 -0.040	  0.160	  0.080	  0.035	 -0.100	 -0.100	 -0.080
          0.102	 -0.060	 -0.015	  0.045	  0.035	  0.015	 -0.050	  0.160	  0.090	  0.030	 -0.110	 -0.110	 -0.080
          0.104	 -0.070	 -0.030	  0.040	  0.050	  0.005	 -0.055	  0.160	  0.090	  0.015	 -0.115	 -0.110	 -0.080
          0.106	 -0.075	 -0.035	  0.040	  0.055	  0.005	 -0.055	  0.160	  0.090	  0.010	 -0.120	 -0.100	 -0.080
          0.108	 -0.075	 -0.035	  0.040	  0.055	  0.005	 -0.055	  0.170	  0.080	  0.010	 -0.120	 -0.100	 -0.080
          0.110	 -0.075	 -0.030	  0.045	  0.050	  0.010	 -0.060	  0.175	  0.090	  0.015	 -0.115	 -0.100	 -0.080
          0.112	 -0.070	 -0.020	  0.050	  0.045	  0.015	 -0.060	  0.180	  0.095	  0.015	 -0.110	 -0.100	 -0.080
          0.114	 -0.060	 -0.020	  0.040	  0.040	  0.010	 -0.050	  0.175	  0.100	  0.000	 -0.100	 -0.100	 -0.080
          0.116	 -0.055	 -0.030	  0.025	  0.040	  0.000	 -0.040	  0.175	  0.100	  0.000	 -0.110	 -0.110	 -0.090
          0.118	 -0.050	 -0.035	  0.015	  0.040	 -0.010	 -0.030	  0.175	  0.100	  0.000	 -0.115	 -0.115	 -0.095
          0.120	 -0.040	 -0.040	  0.000	  0.040	 -0.020	 -0.020	  0.180	  0.100	  0.010	 -0.120	 -0.120	 -0.095
          0.122	 -0.040	 -0.040	  0.000	  0.040	 -0.020	 -0.020	  0.190	  0.100	  0.000	 -0.110	 -0.115	 -0.090
          0.124	 -0.050	 -0.050	  0.000	  0.050	 -0.025	 -0.025	  0.195	  0.100	  0.010	 -0.100	 -0.110	 -0.080
          0.126	 -0.055	 -0.050	  0.005	  0.050	 -0.020	 -0.030	  0.200	  0.100	  0.010	 -0.110	 -0.110	 -0.080
          0.128	 -0.055	 -0.040	  0.015	  0.045	 -0.010	 -0.035	  0.195	  0.095	  0.010	 -0.135	 -0.120	 -0.090
          0.130	 -0.055	 -0.040	  0.015	  0.045	 -0.010	 -0.035	  0.190	  0.090	 -0.010	 -0.150	 -0.135	 -0.095
          0.132	 -0.070	 -0.060	  0.010	  0.065	 -0.025	 -0.040	  0.190	  0.090	 -0.010	 -0.150	 -0.130	 -0.095
          0.134	 -0.080	 -0.075	  0.005	  0.075	 -0.035	 -0.040	  0.200	  0.100	 -0.010	 -0.135	 -0.110	 -0.080
          0.136	 -0.075	 -0.060	  0.015	  0.065	 -0.020	 -0.045	  0.215	  0.110	  0.000	 -0.120	 -0.095	 -0.075
          0.138	 -0.060	 -0.040	  0.020	  0.050	 -0.010	 -0.040	  0.220	  0.110	  0.000	 -0.110	 -0.100	 -0.080
          0.140	 -0.055	 -0.040	  0.015	  0.045	 -0.010	 -0.035	  0.220	  0.100	 -0.010	 -0.110	 -0.120	 -0.095
          0.142	 -0.060	 -0.050	  0.010	  0.055	 -0.020	 -0.035	  0.230	  0.110	 -0.015	 -0.130	 -0.135	 -0.100
          0.144	 -0.055	 -0.050	  0.005	  0.050	 -0.020	 -0.030	  0.230	  0.110	 -0.015	 -0.150	 -0.150	 -0.110
          0.146	 -0.055	 -0.050	  0.005	  0.050	 -0.020	 -0.030	  0.230	  0.110	 -0.015	 -0.160	 -0.155	 -0.115
          0.148	 -0.060	 -0.070	 -0.010	  0.065	 -0.040	 -0.025	  0.235	  0.110	 -0.015	 -0.155	 -0.150	 -0.115
          0.150	 -0.075	 -0.080	 -0.005	  0.075	 -0.040	 -0.035	  0.250	  0.120	 -0.015	 -0.140	 -0.130	 -0.095
          0.152	 -0.090	 -0.090	  0.000	  0.090	 -0.045	 -0.045	  0.255	  0.130	 -0.010	 -0.130	 -0.115	 -0.075
          0.154	 -0.095	 -0.080	  0.015	  0.085	 -0.030	 -0.055	  0.250	  0.120	  0.000	 -0.120	 -0.115	 -0.060
          0.156	 -0.100	 -0.075	  0.025	  0.085	 -0.025	 -0.060	  0.240	  0.115	 -0.010	 -0.135	 -0.130	 -0.070
          0.158	 -0.095	 -0.070	  0.025	  0.080	 -0.020	 -0.060	  0.240	  0.120	 -0.015	 -0.150	 -0.130	 -0.075
          0.160	 -0.080	 -0.060	  0.020	  0.070	 -0.020	 -0.050	  0.250	  0.130	 -0.010	 -0.150	 -0.120	 -0.080
          0.162	 -0.070	 -0.055	  0.015	  0.060	 -0.020	 -0.040	  0.255	  0.120	  0.010	 -0.135	 -0.110	 -0.080
          0.164	 -0.070	 -0.050	  0.020	  0.060	 -0.015	 -0.045	  0.260	  0.115	  0.030	 -0.120	 -0.100	 -0.075
          0.166	 -0.070	 -0.040	  0.030	  0.055	 -0.005	 -0.050	  0.260	  0.115	  0.030	 -0.110	 -0.100	 -0.075
          0.168	 -0.070	 -0.040	  0.030	  0.055	 -0.005	 -0.050	  0.260	  0.120	  0.030	 -0.095	 -0.095	 -0.075
          0.170	 -0.070	 -0.050	  0.020	  0.060	 -0.015	 -0.045	  0.255	  0.110	  0.020	 -0.090	 -0.095	 -0.080
          0.172	 -0.080	 -0.060	  0.020	  0.070	 -0.020	 -0.050	  0.250	  0.095	  0.020	 -0.110	 -0.100	 -0.090
          0.174	 -0.090	 -0.070	  0.020	  0.080	 -0.025	 -0.055	  0.240	  0.095	  0.020	 -0.130	 -0.115	 -0.090
          0.176	 -0.075	 -0.070	  0.005	  0.070	 -0.030	 -0.040	  0.235	  0.110	  0.015	 -0.150	 -0.120	 -0.080
          0.178	 -0.050	 -0.055	 -0.005	  0.050	 -0.030	 -0.020	  0.230	  0.115	  0.015	 -0.155	 -0.120	 -0.070
          0.180	 -0.030	 -0.040	 -0.010	  0.035	 -0.025	 -0.010	  0.230	  0.100	  0.015	 -0.150	 -0.115	 -0.060
          0.182	 -0.030	 -0.030	  0.000	  0.030	 -0.015	 -0.015	  0.230	  0.095	  0.030	 -0.120	 -0.110	 -0.060
          0.184	 -0.050	 -0.035	  0.015	  0.040	 -0.010	 -0.030	  0.230	  0.095	  0.030	 -0.095	 -0.100	 -0.060
          0.186	 -0.070	 -0.050	  0.020	  0.060	 -0.015	 -0.045	  0.220	  0.100	  0.030	 -0.090	 -0.095	 -0.055
          0.188	 -0.070	 -0.040	  0.030	  0.055	 -0.005	 -0.050	  0.220	  0.095	  0.020	 -0.100	 -0.090	 -0.050
          0.190	 -0.040	 -0.015	  0.025	  0.025	  0.005	 -0.030	  0.215	  0.090	  0.030	 -0.110	 -0.080	 -0.035
          0.192	 -0.020	  0.015	  0.035	  0.000	  0.025	 -0.030	  0.200	  0.080	  0.030	 -0.100	 -0.080	 -0.030
          0.194	 -0.015	  0.030	  0.045	 -0.005	  0.040	 -0.030	  0.195	  0.090	  0.035	 -0.080	 -0.075	 -0.020
          0.196	 -0.020	  0.030	  0.050	 -0.005	  0.040	 -0.035	  0.200	  0.090	  0.035	 -0.075	 -0.070	 -0.020
          0.198	 -0.020	  0.020	  0.040	  0.000	  0.030	 -0.030	  0.215	  0.090	  0.040	 -0.080	 -0.070	 -0.020
          0.200	 -0.020	  0.000	  0.020	  0.010	  0.010	 -0.020	  0.215	  0.080	  0.040	 -0.095	 -0.075	 -0.030
          0.202	 -0.035	 -0.030	  0.005	  0.030	 -0.010	 -0.020	  0.210	  0.080	  0.040	 -0.095	 -0.080	 -0.030
          0.204	 -0.055	 -0.050	  0.005	  0.050	 -0.020	 -0.030	  0.200	  0.080	  0.035	 -0.095	 -0.080	 -0.035
          0.206	 -0.070	 -0.055	  0.015	  0.060	 -0.020	 -0.040	  0.200	  0.075	  0.030	 -0.095	 -0.080	 -0.035
          0.208	 -0.070	 -0.040	  0.030	  0.055	 -0.005	 -0.050	  0.200	  0.070	  0.030	 -0.090	 -0.075	 -0.030
          0.210	 -0.055	 -0.020	  0.035	  0.035	  0.010	 -0.045	  0.195	  0.060	  0.035	 -0.080	 -0.075	 -0.020
          0.212	 -0.040	 -0.010	  0.030	  0.025	  0.010	 -0.035	  0.190	  0.070	  0.040	 -0.075	 -0.075	 -0.015
          0.214	 -0.035	  0.010	  0.045	  0.010	  0.030	 -0.040	  0.180	  0.075	  0.040	 -0.080	 -0.080	 -0.020
          0.216	 -0.035	  0.010	  0.045	  0.010	  0.030	 -0.040	  0.180	  0.075	  0.035	 -0.090	 -0.090	 -0.020
          0.218	 -0.040	  0.000	  0.040	  0.020	  0.020	 -0.040	  0.180	  0.075	  0.035	 -0.090	 -0.095	 -0.020
          0.220	 -0.040	 -0.015	  0.025	  0.025	  0.005	 -0.030	  0.180	  0.075	  0.040	 -0.080	 -0.095	 -0.020
          0.222	 -0.035	 -0.020	  0.015	  0.025	  0.000	 -0.025	  0.190	  0.080	  0.055	 -0.070	 -0.080	 -0.020
          0.224	 -0.030	 -0.015	  0.015	  0.020	  0.000	 -0.020	  0.190	  0.080	  0.055	 -0.055	 -0.070	 -0.020
          0.226	 -0.020	 -0.010	  0.010	  0.015	  0.000	 -0.015	  0.190	  0.080	  0.050	 -0.060	 -0.070	 -0.020
          0.228	 -0.020	 -0.010	  0.010	  0.015	  0.000	 -0.015	  0.190	  0.090	  0.050	 -0.075	 -0.075	 -0.015
