   Elapsed time	      I	     II	    III	    aVR	    aVF	    aVL	     V1	     V2	     V3	     V4	     V5	     V6
      (seconds)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)
          0.000	 -0.020	  0.000	  0.020	  0.010	  0.010	 -0.020	  0.060	  0.060	 -0.060	 -0.020	  0.040	 -0.040
          0.002	 -0.030	 -0.015	  0.015	  0.020	  0.000	 -0.020	  0.060	  0.060	 -0.040	 -0.010	  0.040	 -0.040
          0.004	 -0.030	 -0.020	  0.010	  0.025	 -0.005	 -0.020	  0.060	  0.055	 -0.035	 -0.010	  0.035	 -0.035
          0.006	 -0.030	 -0.020	  0.010	  0.025	 -0.005	 -0.020	  0.055	  0.050	 -0.035	 -0.010	  0.035	 -0.020
          0.008	 -0.030	 -0.020	  0.010	  0.025	 -0.005	 -0.020	  0.055	  0.050	 -0.035	  0.000	  0.035	 -0.010
          0.010	 -0.035	 -0.015	  0.020	  0.025	  0.005	 -0.025	  0.050	  0.050	 -0.030	  0.000	  0.040	  0.000
          0.012	 -0.040	 -0.010	  0.030	  0.025	  0.010	 -0.035	  0.040	  0.050	 -0.030	  0.010	  0.035	  0.000
          0.014	 -0.040	 -0.010	  0.030	  0.025	  0.010	 -0.035	  0.035	  0.040	 -0.030	  0.010	  0.035	  0.000
          0.016	 -0.040	 -0.015	  0.025	  0.025	  0.005	 -0.030	  0.040	  0.040	 -0.030	  0.015	  0.030	  0.000
          0.018	 -0.035	 -0.015	  0.020	  0.025	  0.005	 -0.025	  0.055	  0.050	 -0.020	  0.000	  0.030	 -0.010
          0.020	 -0.035	 -0.010	  0.025	  0.020	  0.010	 -0.030	  0.060	  0.060	 -0.020	  0.000	  0.030	 -0.015
          0.022	 -0.040	 -0.010	  0.030	  0.025	  0.010	 -0.035	  0.060	  0.070	 -0.020	  0.010	  0.035	 -0.020
          0.024	 -0.060	 -0.010	  0.050	  0.035	  0.020	 -0.055	  0.060	  0.070	 -0.030	  0.020	  0.040	 -0.015
          0.026	 -0.090	 -0.015	  0.075	  0.050	  0.030	 -0.080	  0.060	  0.070	 -0.030	  0.030	  0.050	  0.000
          0.028	 -0.110	 -0.015	  0.095	  0.060	  0.040	 -0.100	  0.055	  0.070	 -0.030	  0.030	  0.050	  0.010
          0.030	 -0.115	 -0.020	  0.095	  0.065	  0.040	 -0.105	  0.050	  0.070	 -0.020	  0.030	  0.040	  0.010
          0.032	 -0.110	 -0.030	  0.080	  0.070	  0.025	 -0.095	  0.050	  0.060	 -0.030	  0.015	  0.030	 -0.010
          0.034	 -0.080	 -0.030	  0.050	  0.055	  0.010	 -0.065	  0.055	  0.055	 -0.035	  0.010	  0.030	 -0.010
          0.036	 -0.035	 -0.015	  0.020	  0.025	  0.005	 -0.025	  0.060	  0.055	 -0.040	  0.000	  0.035	  0.000
          0.038	  0.020	  0.015	 -0.005	 -0.015	  0.005	  0.010	  0.060	  0.060	 -0.030	  0.000	  0.040	  0.015
          0.040	  0.050	  0.035	 -0.015	 -0.040	  0.010	  0.030	  0.055	  0.060	 -0.020	  0.000	  0.035	  0.015
          0.042	  0.040	  0.035	 -0.005	 -0.035	  0.015	  0.020	  0.050	  0.050	 -0.030	 -0.010	  0.030	  0.010
          0.044	  0.015	  0.015	  0.000	 -0.015	  0.005	  0.005	  0.040	  0.035	 -0.040	 -0.015	  0.020	  0.000
          0.046	  0.000	 -0.010	 -0.010	  0.005	 -0.010	  0.005	  0.040	  0.035	 -0.050	 -0.020	  0.020	  0.000
          0.048	 -0.015	 -0.020	 -0.005	  0.015	 -0.010	 -0.005	  0.050	  0.040	 -0.035	 -0.015	  0.020	  0.010
          0.050	 -0.015	 -0.020	 -0.005	  0.015	 -0.010	 -0.005	  0.055	  0.040	 -0.035	 -0.015	  0.015	  0.010
          0.052	 -0.030	 -0.020	  0.010	  0.025	 -0.005	 -0.020	  0.055	  0.040	 -0.035	 -0.010	  0.010	  0.010
          0.054	 -0.035	 -0.020	  0.015	  0.025	  0.000	 -0.025	  0.055	  0.040	 -0.040	 -0.010	  0.000	  0.010
          0.056	 -0.035	 -0.020	  0.015	  0.025	  0.000	 -0.025	  0.055	  0.050	 -0.040	 -0.010	  0.000	  0.015
          0.058	 -0.030	 -0.020	  0.010	  0.025	 -0.005	 -0.020	  0.060	  0.055	 -0.040	 -0.010	  0.000	  0.020
          0.060	 -0.020	 -0.020	  0.000	  0.020	 -0.010	 -0.010	  0.060	  0.055	 -0.035	  0.000	  0.000	  0.020
          0.062	 -0.020	 -0.015	  0.005	  0.015	 -0.005	 -0.010	  0.060	  0.055	 -0.035	  0.010	  0.000	  0.015
          0.064	 -0.030	 -0.010	  0.020	  0.020	  0.005	 -0.025	  0.060	  0.050	 -0.035	  0.000	 -0.010	  0.000
          0.066	 -0.035	 -0.015	  0.020	  0.025	  0.005	 -0.025	  0.060	  0.055	 -0.040	 -0.010	 -0.015	 -0.010
          0.068	 -0.035	 -0.020	  0.015	  0.025	  0.000	 -0.025	  0.060	  0.055	 -0.040	 -0.010	 -0.020	 -0.015
          0.070	 -0.030	 -0.020	  0.010	  0.025	 -0.005	 -0.020	  0.060	  0.055	 -0.050	 -0.010	 -0.015	 -0.015
          0.072	 -0.030	 -0.015	  0.015	  0.020	  0.000	 -0.020	  0.060	  0.055	 -0.050	 -0.015	 -0.010	 -0.015
          0.074	 -0.035	 -0.015	  0.020	  0.025	  0.005	 -0.025	  0.055	  0.055	 -0.050	 -0.020	  0.000	 -0.015
          0.076	 -0.040	 -0.020	  0.020	  0.030	  0.000	 -0.030	  0.050	  0.060	 -0.035	 -0.015	  0.010	 -0.015
          0.078	 -0.040	 -0.020	  0.020	  0.030	  0.000	 -0.030	  0.050	  0.055	 -0.035	 -0.010	  0.020	 -0.020
          0.080	 -0.040	 -0.020	  0.020	  0.030	  0.000	 -0.030	  0.050	  0.040	 -0.040	 -0.010	  0.030	 -0.020
          0.082	 -0.040	 -0.030	  0.010	  0.035	 -0.010	 -0.025	  0.055	  0.035	 -0.050	 -0.015	  0.030	 -0.020
          0.084	 -0.050	 -0.035	  0.015	  0.040	 -0.010	 -0.030	  0.055	  0.040	 -0.050	 -0.030	  0.030	 -0.020
          0.086	 -0.055	 -0.040	  0.015	  0.045	 -0.010	 -0.035	  0.060	  0.055	 -0.040	 -0.030	  0.035	 -0.020
          0.088	 -0.060	 -0.040	  0.020	  0.050	 -0.010	 -0.040	  0.060	  0.055	 -0.040	 -0.030	  0.035	 -0.020
          0.090	 -0.060	 -0.035	  0.025	  0.045	 -0.005	 -0.040	  0.055	  0.050	 -0.040	 -0.020	  0.030	 -0.020
          0.092	 -0.055	 -0.030	  0.025	  0.040	  0.000	 -0.040	  0.050	  0.040	 -0.040	 -0.020	  0.030	 -0.020
          0.094	 -0.055	 -0.020	  0.035	  0.035	  0.010	 -0.045	  0.040	  0.035	 -0.040	 -0.020	  0.030	 -0.020
          0.096	 -0.055	 -0.020	  0.035	  0.035	  0.010	 -0.045	  0.040	  0.030	 -0.050	 -0.020	  0.020	 -0.020
          0.098	 -0.060	 -0.030	  0.030	  0.045	  0.000	 -0.045	  0.040	  0.030	 -0.055	 -0.030	  0.010	 -0.020
          0.100	 -0.060	 -0.035	  0.025	  0.045	 -0.005	 -0.040	  0.040	  0.035	 -0.060	 -0.030	  0.010	 -0.020
          0.102	 -0.055	 -0.040	  0.015	  0.045	 -0.010	 -0.035	  0.050	  0.040	 -0.055	 -0.020	  0.015	 -0.020
          0.104	 -0.050	 -0.035	  0.015	  0.040	 -0.010	 -0.030	  0.055	  0.040	 -0.055	 -0.015	  0.015	 -0.020
          0.106	 -0.040	 -0.030	  0.010	  0.035	 -0.010	 -0.025	  0.055	  0.035	 -0.055	 -0.015	  0.000	 -0.020
          0.108	 -0.040	 -0.030	  0.010	  0.035	 -0.010	 -0.025	  0.050	  0.030	 -0.060	 -0.020	 -0.010	 -0.020
          0.110	 -0.050	 -0.035	  0.015	  0.040	 -0.010	 -0.030	  0.040	  0.020	 -0.060	 -0.020	 -0.010	 -0.015
          0.112	 -0.050	 -0.035	  0.015	  0.040	 -0.010	 -0.030	  0.050	  0.030	 -0.055	 -0.015	  0.000	 -0.010
          0.114	 -0.040	 -0.020	  0.020	  0.030	  0.000	 -0.030	  0.055	  0.035	 -0.055	 -0.015	  0.000	  0.000
          0.116	 -0.030	 -0.010	  0.020	  0.020	  0.005	 -0.025	  0.060	  0.040	 -0.055	 -0.015	  0.000	  0.000
          0.118	 -0.030	  0.000	  0.030	  0.015	  0.015	 -0.030	  0.055	  0.040	 -0.055	 -0.020	  0.010	  0.000
          0.120	 -0.035	  0.000	  0.035	  0.015	  0.020	 -0.035	  0.050	  0.040	 -0.055	 -0.030	  0.010	  0.000
          0.122	 -0.050	  0.000	  0.050	  0.025	  0.025	 -0.050	  0.050	  0.040	 -0.050	 -0.020	  0.015	  0.010
          0.124	 -0.050	  0.000	  0.050	  0.025	  0.025	 -0.050	  0.055	  0.040	 -0.055	 -0.020	  0.015	  0.015
          0.126	 -0.040	  0.000	  0.040	  0.020	  0.020	 -0.040	  0.055	  0.050	 -0.050	 -0.010	  0.020	  0.020
          0.128	 -0.035	 -0.010	  0.025	  0.020	  0.010	 -0.030	  0.055	  0.050	 -0.050	 -0.015	  0.020	  0.020
          0.130	 -0.040	 -0.010	  0.030	  0.025	  0.010	 -0.035	  0.050	  0.050	 -0.050	 -0.020	  0.020	  0.020
          0.132	 -0.050	 -0.015	  0.035	  0.030	  0.010	 -0.040	  0.055	  0.040	 -0.050	 -0.030	  0.015	  0.020
          0.134	 -0.050	 -0.010	  0.040	  0.030	  0.015	 -0.045	  0.055	  0.040	 -0.055	 -0.030	  0.010	  0.020
          0.136	 -0.040	 -0.010	  0.030	  0.025	  0.010	 -0.035	  0.060	  0.040	 -0.050	 -0.020	 -0.010	  0.020
          0.138	 -0.040	  0.000	  0.040	  0.020	  0.020	 -0.040	  0.055	  0.040	 -0.055	 -0.030	 -0.015	  0.020
          0.140	 -0.040	  0.000	  0.040	  0.020	  0.020	 -0.040	  0.055	  0.040	 -0.055	 -0.035	 -0.020	  0.020
          0.142	 -0.040	  0.010	  0.050	  0.015	  0.030	 -0.045	  0.055	  0.035	 -0.060	 -0.040	 -0.020	  0.020
          0.144	 -0.040	  0.010	  0.050	  0.015	  0.030	 -0.045	  0.060	  0.035	 -0.055	 -0.035	 -0.015	  0.030
          0.146	 -0.035	  0.015	  0.050	  0.010	  0.035	 -0.045	  0.060	  0.035	 -0.055	 -0.030	 -0.015	  0.030
          0.148	 -0.035	  0.010	  0.045	  0.010	  0.030	 -0.040	  0.060	  0.050	 -0.055	 -0.020	 -0.010	  0.035
          0.150	 -0.040	  0.000	  0.040	  0.020	  0.020	 -0.040	  0.060	  0.050	 -0.055	 -0.015	 -0.010	  0.035
          0.152	 -0.050	 -0.015	  0.035	  0.030	  0.010	 -0.040	  0.055	  0.050	 -0.055	 -0.015	  0.000	  0.040
          0.154	 -0.050	 -0.020	  0.030	  0.035	  0.005	 -0.040	  0.055	  0.040	 -0.055	 -0.015	 -0.010	  0.040
          0.156	 -0.050	 -0.030	  0.020	  0.040	 -0.005	 -0.035	  0.050	  0.040	 -0.060	 -0.030	 -0.015	  0.040
          0.158	 -0.055	 -0.035	  0.020	  0.045	 -0.005	 -0.035	  0.040	  0.040	 -0.070	 -0.035	 -0.020	  0.040
          0.160	 -0.060	 -0.035	  0.025	  0.045	 -0.005	 -0.040	  0.030	  0.035	 -0.075	 -0.035	 -0.020	  0.035
          0.162	 -0.060	 -0.035	  0.025	  0.045	 -0.005	 -0.040	  0.030	  0.035	 -0.075	 -0.035	 -0.020	  0.035
          0.164	 -0.060	 -0.035	  0.025	  0.045	 -0.005	 -0.040	  0.040	  0.035	 -0.070	 -0.035	 -0.015	  0.035
          0.166	 -0.060	 -0.035	  0.025	  0.045	 -0.005	 -0.040	  0.050	  0.035	 -0.060	 -0.040	 -0.015	  0.040
          0.168	 -0.060	 -0.035	  0.025	  0.045	 -0.005	 -0.040	  0.055	  0.035	 -0.070	 -0.040	 -0.010	  0.040
          0.170	 -0.060	 -0.035	  0.025	  0.045	 -0.005	 -0.040	  0.055	  0.035	 -0.070	 -0.040	 -0.010	  0.040
          0.172	 -0.070	 -0.040	  0.030	  0.055	 -0.005	 -0.050	  0.055	  0.040	 -0.070	 -0.040	  0.000	  0.040
          0.174	 -0.070	 -0.040	  0.030	  0.055	 -0.005	 -0.050	  0.050	  0.040	 -0.060	 -0.040	  0.000	  0.040
          0.176	 -0.070	 -0.035	  0.035	  0.050	  0.000	 -0.050	  0.040	  0.040	 -0.060	 -0.035	  0.010	  0.050
          0.178	 -0.055	 -0.030	  0.025	  0.040	  0.000	 -0.040	  0.050	  0.040	 -0.060	 -0.030	  0.015	  0.055
          0.180	 -0.050	 -0.020	  0.030	  0.035	  0.005	 -0.040	  0.055	  0.040	 -0.060	 -0.030	  0.020	  0.060
          0.182	 -0.040	 -0.030	  0.010	  0.035	 -0.010	 -0.025	  0.060	  0.040	 -0.060	 -0.035	  0.015	  0.055
          0.184	 -0.050	 -0.035	  0.015	  0.040	 -0.010	 -0.030	  0.060	  0.040	 -0.060	 -0.040	  0.010	  0.055
          0.186	 -0.060	 -0.040	  0.020	  0.050	 -0.010	 -0.040	  0.060	  0.040	 -0.060	 -0.035	  0.010	  0.055
          0.188	 -0.075	 -0.040	  0.035	  0.055	  0.000	 -0.055	  0.060	  0.040	 -0.060	 -0.035	  0.010	  0.060
          0.190	 -0.075	 -0.040	  0.035	  0.055	  0.000	 -0.055	  0.060	  0.035	 -0.060	 -0.035	  0.010	  0.055
          0.192	 -0.070	 -0.035	  0.035	  0.050	  0.000	 -0.050	  0.055	  0.035	 -0.060	 -0.040	  0.010	  0.060
          0.194	 -0.060	 -0.030	  0.030	  0.045	  0.000	 -0.045	  0.050	  0.035	 -0.060	 -0.040	  0.010	  0.070
          0.196	 -0.060	 -0.030	  0.030	  0.045	  0.000	 -0.045	  0.050	  0.040	 -0.060	 -0.040	  0.010	  0.075
          0.198	 -0.060	 -0.035	  0.025	  0.045	 -0.005	 -0.040	  0.055	  0.040	 -0.060	 -0.040	  0.000	  0.070
          0.200	 -0.060	 -0.035	  0.025	  0.045	 -0.005	 -0.040	  0.060	  0.040	 -0.070	 -0.035	  0.000	  0.070
          0.202	 -0.060	 -0.035	  0.025	  0.045	 -0.005	 -0.040	  0.060	  0.040	 -0.070	 -0.035	 -0.010	  0.060
          0.204	 -0.070	 -0.035	  0.035	  0.050	  0.000	 -0.050	  0.060	  0.035	 -0.070	 -0.035	 -0.015	  0.055
          0.206	 -0.075	 -0.050	  0.025	  0.060	 -0.010	 -0.050	  0.055	  0.030	 -0.060	 -0.040	 -0.030	  0.040
          0.208	 -0.075	 -0.050	  0.025	  0.060	 -0.010	 -0.050	  0.050	  0.030	 -0.060	 -0.050	 -0.030	  0.040
          0.210	 -0.070	 -0.050	  0.020	  0.060	 -0.015	 -0.045	  0.050	  0.035	 -0.060	 -0.050	 -0.020	  0.040
          0.212	 -0.055	 -0.035	  0.020	  0.045	 -0.005	 -0.035	  0.055	  0.035	 -0.060	 -0.050	 -0.015	  0.040
          0.214	 -0.040	 -0.030	  0.010	  0.035	 -0.010	 -0.025	  0.070	  0.035	 -0.055	 -0.040	 -0.010	  0.040
          0.216	 -0.030	 -0.015	  0.015	  0.020	  0.000	 -0.020	  0.075	  0.040	 -0.050	 -0.035	 -0.015	  0.050
          0.218	 -0.015	  0.000	  0.015	  0.005	  0.010	 -0.015	  0.080	  0.055	 -0.040	 -0.035	 -0.010	  0.050
          0.220	 -0.010	  0.015	  0.025	  0.000	  0.020	 -0.020	  0.075	  0.055	 -0.050	 -0.030	 -0.010	  0.055
          0.222	 -0.010	  0.020	  0.030	 -0.005	  0.025	 -0.020	  0.070	  0.050	 -0.055	 -0.035	  0.000	  0.055
          0.224	 -0.020	  0.015	  0.035	  0.000	  0.025	 -0.030	  0.060	  0.040	 -0.060	 -0.030	 -0.010	  0.055
          0.226	 -0.040	  0.000	  0.040	  0.020	  0.020	 -0.040	  0.055	  0.040	 -0.060	 -0.035	 -0.015	  0.050
          0.228	 -0.055	 -0.015	  0.040	  0.035	  0.015	 -0.045	  0.050	  0.035	 -0.060	 -0.035	 -0.015	  0.040
          0.230	 -0.060	 -0.020	  0.040	  0.040	  0.010	 -0.050	  0.050	  0.035	 -0.060	 -0.040	 -0.010	  0.040
          0.232	 -0.060	 -0.020	  0.040	  0.040	  0.010	 -0.050	  0.055	  0.030	 -0.060	 -0.040	 -0.010	  0.040
          0.234	 -0.060	 -0.020	  0.040	  0.040	  0.010	 -0.050	  0.060	  0.030	 -0.060	 -0.040	 -0.015	  0.040
          0.236	 -0.070	 -0.030	  0.040	  0.050	  0.005	 -0.055	  0.055	  0.020	 -0.060	 -0.040	 -0.020	  0.040
          0.238	 -0.075	 -0.030	  0.045	  0.050	  0.010	 -0.060	  0.055	  0.030	 -0.055	 -0.035	 -0.020	  0.040
          0.240	 -0.080	 -0.035	  0.045	  0.055	  0.005	 -0.060	  0.055	  0.035	 -0.055	 -0.035	 -0.020	  0.040
          0.242	 -0.080	 -0.040	  0.040	  0.060	  0.000	 -0.060	  0.055	  0.035	 -0.055	 -0.035	 -0.020	  0.040
          0.244	 -0.080	 -0.050	  0.030	  0.065	 -0.010	 -0.055	  0.050	  0.030	 -0.060	 -0.050	 -0.030	  0.040
          0.246	 -0.080	 -0.050	  0.030	  0.065	 -0.010	 -0.055	  0.050	  0.020	 -0.060	 -0.050	 -0.035	  0.035
          0.248	 -0.080	 -0.040	  0.040	  0.060	  0.000	 -0.060	  0.050	  0.020	 -0.070	 -0.050	 -0.035	  0.035
          0.250	 -0.075	 -0.040	  0.035	  0.055	  0.000	 -0.055	  0.050	  0.020	 -0.070	 -0.050	 -0.030	  0.035
          0.252	 -0.060	 -0.035	  0.025	  0.045	 -0.005	 -0.040	  0.050	  0.030	 -0.070	 -0.050	 -0.020	  0.040
          0.254	 -0.055	 -0.030	  0.025	  0.040	  0.000	 -0.040	  0.050	  0.035	 -0.060	 -0.050	 -0.030	  0.040
          0.256	 -0.055	 -0.020	  0.035	  0.035	  0.010	 -0.045	  0.050	  0.035	 -0.060	 -0.040	 -0.035	  0.040
          0.258	 -0.060	 -0.020	  0.040	  0.040	  0.010	 -0.050	  0.040	  0.035	 -0.055	 -0.035	 -0.030	  0.040
          0.260	 -0.055	 -0.010	  0.045	  0.030	  0.020	 -0.050	  0.055	  0.040	 -0.050	 -0.030	 -0.020	  0.040
          0.262	 -0.050	  0.010	  0.060	  0.020	  0.035	 -0.055	  0.060	  0.050	 -0.040	 -0.020	 -0.010	  0.040
          0.264	 -0.040	  0.015	  0.055	  0.010	  0.035	 -0.050	  0.075	  0.050	 -0.035	 -0.020	 -0.010	  0.040
          0.266	 -0.040	  0.015	  0.055	  0.010	  0.035	 -0.050	  0.075	  0.050	 -0.035	 -0.020	  0.000	  0.040
          0.268	 -0.050	  0.015	  0.065	  0.015	  0.040	 -0.060	  0.095	  0.070	 -0.030	 -0.020	  0.010	  0.040
          0.270	 -0.055	  0.020	  0.075	  0.015	  0.050	 -0.065	  0.115	  0.095	 -0.020	 -0.015	  0.010	  0.040
          0.272	 -0.070	  0.015	  0.085	  0.025	  0.050	 -0.080	  0.130	  0.110	  0.000	  0.000	  0.015	  0.050
          0.274	 -0.060	  0.015	  0.075	  0.020	  0.045	 -0.070	  0.130	  0.110	  0.015	  0.015	  0.015	  0.055
          0.276	 -0.050	  0.020	  0.070	  0.015	  0.045	 -0.060	  0.120	  0.110	  0.020	  0.020	  0.020	  0.060
          0.278	 -0.030	  0.035	  0.065	  0.000	  0.050	 -0.050	  0.120	  0.115	  0.030	  0.020	  0.020	  0.055
          0.280	 -0.020	  0.035	  0.055	 -0.005	  0.045	 -0.040	  0.130	  0.120	  0.035	  0.020	  0.020	  0.050
          0.282	 -0.015	  0.035	  0.050	 -0.010	  0.045	 -0.035	  0.135	  0.120	  0.040	  0.020	  0.030	  0.050
          0.284	  0.000	  0.040	  0.040	 -0.020	  0.040	 -0.020	  0.135	  0.120	  0.035	  0.020	  0.030	  0.050
          0.286	  0.015	  0.055	  0.040	 -0.035	  0.045	 -0.015	  0.130	  0.120	  0.030	  0.015	  0.020	  0.050
          0.288	  0.035	  0.070	  0.035	 -0.050	  0.050	  0.000	  0.120	  0.120	  0.020	  0.015	  0.015	  0.050
          0.290	  0.050	  0.075	  0.025	 -0.060	  0.050	  0.010	  0.115	  0.115	  0.030	  0.015	  0.010	  0.050
          0.292	  0.055	  0.080	  0.025	 -0.065	  0.050	  0.015	  0.100	  0.110	  0.030	  0.020	  0.015	  0.050
          0.294	  0.055	  0.080	  0.025	 -0.065	  0.050	  0.015	  0.080	  0.095	  0.030	  0.020	  0.015	  0.040
          0.296	  0.055	  0.075	  0.020	 -0.065	  0.045	  0.015	  0.070	  0.090	  0.020	  0.020	  0.020	  0.040
          0.298	  0.055	  0.070	  0.015	 -0.060	  0.040	  0.020	  0.055	  0.075	  0.015	  0.015	  0.015	  0.040
          0.300	  0.040	  0.055	  0.015	 -0.045	  0.035	  0.010	  0.035	  0.060	  0.000	  0.010	  0.010	  0.040
          0.302	  0.030	  0.040	  0.010	 -0.035	  0.025	  0.010	  0.010	  0.050	 -0.020	  0.000	  0.000	  0.040
          0.304	  0.020	  0.030	  0.010	 -0.025	  0.020	  0.005	 -0.010	  0.035	 -0.035	  0.000	 -0.010	  0.040
          0.306	  0.030	  0.030	  0.000	 -0.030	  0.015	  0.015	 -0.015	  0.030	 -0.040	  0.000	 -0.015	  0.040
          0.308	  0.035	  0.040	  0.005	 -0.035	  0.020	  0.015	 -0.015	  0.020	 -0.040	 -0.010	 -0.015	  0.035
