   Elapsed time	      I	     II	    III	    aVR	    aVF	    aVL	     V1	     V2	     V3	     V4	     V5	     V6
   hh:mm:ss.mmm	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)
       0:00.000	 -0.040	  0.020	  0.060	  0.010	  0.040	 -0.050	  3.520	  0.020	  0.060	  0.060	  0.060	  0.060
       0:00.002	 -0.035	  0.020	  0.055	  0.005	  0.040	 -0.045	  3.535	  0.020	  0.055	  0.060	  0.055	  0.040
       0:00.004	 -0.035	  0.020	  0.055	  0.005	  0.040	 -0.045	  3.550	  0.020	  0.050	  0.060	  0.050	  0.035
       0:00.006	 -0.035	  0.020	  0.055	  0.005	  0.040	 -0.045	  3.560	  0.015	  0.040	  0.060	  0.040	  0.035
       0:00.008	 -0.040	  0.020	  0.060	  0.010	  0.040	 -0.050	  3.575	  0.015	  0.040	  0.055	  0.040	  0.040
       0:00.010	 -0.035	  0.020	  0.055	  0.005	  0.040	 -0.045	  3.590	  0.010	  0.040	  0.050	  0.040	  0.035
       0:00.012	 -0.035	  0.015	  0.050	  0.010	  0.035	 -0.045	  3.600	  0.010	  0.035	  0.040	  0.035	  0.030
       0:00.014	 -0.040	  0.010	  0.050	  0.015	  0.030	 -0.045	  3.615	  0.000	  0.030	  0.040	  0.030	  0.020
       0:00.016	 -0.060	 -0.010	  0.050	  0.035	  0.020	 -0.055	  3.630	 -0.010	  0.020	  0.040	  0.020	  0.020
       0:00.018	 -0.075	 -0.015	  0.060	  0.045	  0.025	 -0.065	  3.635	 -0.010	  0.020	  0.040	  0.020	  0.020
       0:00.020	 -0.090	 -0.020	  0.070	  0.055	  0.025	 -0.080	  3.650	 -0.010	  0.020	  0.035	  0.015	  0.020
       0:00.022	 -0.095	 -0.030	  0.065	  0.060	  0.020	 -0.080	  3.660	  0.000	  0.020	  0.030	  0.010	  0.020
       0:00.024	 -0.095	 -0.035	  0.060	  0.065	  0.015	 -0.075	  3.675	  0.000	  0.020	  0.020	  0.010	  0.020
       0:00.026	 -0.090	 -0.050	  0.040	  0.070	 -0.005	 -0.065	  3.690	  0.000	  0.020	  0.030	  0.015	  0.020
       0:00.028	 -0.080	 -0.055	  0.025	  0.065	 -0.015	 -0.050	  3.700	  0.000	  0.020	  0.035	  0.020	  0.020
       0:00.030	 -0.080	 -0.060	  0.020	  0.070	 -0.020	 -0.050	  3.715	  0.000	  0.015	  0.035	  0.015	  0.015
       0:00.032	 -0.080	 -0.055	  0.025	  0.065	 -0.015	 -0.050	  3.720	 -0.010	  0.010	  0.030	  0.000	  0.010
       0:00.034	 -0.090	 -0.050	  0.040	  0.070	 -0.005	 -0.065	  3.730	 -0.015	  0.000	  0.020	 -0.010	  0.000
       0:00.036	 -0.095	 -0.040	  0.055	  0.065	  0.010	 -0.075	  3.740	 -0.020	  0.000	  0.015	  0.000	  0.000
       0:00.038	 -0.100	 -0.050	  0.050	  0.075	  0.000	 -0.075	  3.760	 -0.030	  0.000	  0.015	  0.010	  0.000
       0:00.040	 -0.110	 -0.055	  0.055	  0.080	  0.000	 -0.080	  3.780	 -0.030	  0.000	  0.015	  0.010	  0.010
       0:00.042	 -0.110	 -0.070	  0.040	  0.090	 -0.015	 -0.075	  3.800	 -0.030	  0.000	  0.020	  0.000	  0.010
       0:00.044	 -0.110	 -0.070	  0.040	  0.090	 -0.015	 -0.075	  3.820	 -0.020	  0.000	  0.015	 -0.010	  0.010
       0:00.046	 -0.095	 -0.060	  0.035	  0.075	 -0.010	 -0.065	  3.835	 -0.030	 -0.010	  0.000	 -0.015	  0.000
       0:00.048	 -0.095	 -0.055	  0.040	  0.075	 -0.005	 -0.065	  3.850	 -0.035	 -0.015	 -0.015	 -0.020	  0.000
       0:00.050	 -0.100	 -0.060	  0.040	  0.080	 -0.010	 -0.070	  3.860	 -0.040	 -0.015	 -0.015	 -0.020	 -0.010
       0:00.052	 -0.120	 -0.080	  0.040	  0.100	 -0.020	 -0.080	  3.880	 -0.035	 -0.015	 -0.010	 -0.020	 -0.010
       0:00.054	 -0.135	 -0.100	  0.035	  0.115	 -0.030	 -0.085	  3.895	 -0.030	 -0.010	  0.000	 -0.020	 -0.015
       0:00.056	 -0.135	 -0.110	  0.025	  0.120	 -0.040	 -0.080	  3.915	 -0.020	 -0.010	  0.000	 -0.015	 -0.010
       0:00.058	 -0.115	 -0.095	  0.020	  0.105	 -0.035	 -0.065	  3.935	 -0.030	  0.000	 -0.010	 -0.010	 -0.010
       0:00.060	 -0.100	 -0.075	  0.025	  0.085	 -0.025	 -0.060	  3.960	 -0.035	 -0.010	 -0.015	 -0.010	 -0.015
       0:00.062	 -0.100	 -0.075	  0.025	  0.085	 -0.025	 -0.060	  3.975	 -0.040	 -0.020	 -0.030	 -0.020	 -0.035
       0:00.064	 -0.115	 -0.090	  0.025	  0.100	 -0.030	 -0.070	  3.995	 -0.050	 -0.035	 -0.035	 -0.035	 -0.050
