   Elapsed time	      I	     II	    III	    aVR	    aVF	    aVL	     V1	     V2	     V3	     V4	     V5	     V6
      (seconds)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)
          0.000	  0.200	  0.360	  0.160	 -0.280	  0.260	  0.020	  0.160	  0.480	  0.340	  0.280	  0.140	  0.040
          0.002	  0.210	  0.320	  0.110	 -0.265	  0.215	  0.050	  0.175	  0.490	  0.350	  0.270	  0.150	  0.050
          0.004	  0.215	  0.270	  0.055	 -0.240	  0.160	  0.080	  0.190	  0.495	  0.355	  0.270	  0.160	  0.055
          0.006	  0.215	  0.230	  0.015	 -0.220	  0.120	  0.100	  0.195	  0.495	  0.360	  0.280	  0.170	  0.060
          0.008	  0.210	  0.230	  0.020	 -0.220	  0.125	  0.095	  0.180	  0.490	  0.355	  0.295	  0.170	  0.060
          0.010	  0.200	  0.275	  0.075	 -0.235	  0.175	  0.060	  0.155	  0.470	  0.340	  0.295	  0.155	  0.055
          0.012	  0.200	  0.340	  0.140	 -0.270	  0.240	  0.030	  0.135	  0.450	  0.320	  0.280	  0.150	  0.050
          0.014	  0.200	  0.370	  0.170	 -0.285	  0.270	  0.015	  0.135	  0.430	  0.315	  0.275	  0.150	  0.050
          0.016	  0.200	  0.335	  0.135	 -0.265	  0.235	  0.030	  0.150	  0.420	  0.320	  0.280	  0.160	  0.060
          0.018	  0.200	  0.275	  0.075	 -0.235	  0.175	  0.060	  0.170	  0.420	  0.330	  0.295	  0.170	  0.070
          0.020	  0.200	  0.255	  0.055	 -0.225	  0.155	  0.070	  0.170	  0.420	  0.320	  0.295	  0.170	  0.075
          0.022	  0.200	  0.255	  0.055	 -0.225	  0.155	  0.070	  0.160	  0.410	  0.300	  0.290	  0.160	  0.075
          0.024	  0.200	  0.240	  0.040	 -0.220	  0.140	  0.080	  0.140	  0.395	  0.290	  0.280	  0.160	  0.075
          0.026	  0.195	  0.215	  0.020	 -0.205	  0.115	  0.085	  0.135	  0.375	  0.275	  0.275	  0.155	  0.070
          0.028	  0.190	  0.230	  0.040	 -0.210	  0.135	  0.075	  0.130	  0.355	  0.255	  0.260	  0.150	  0.055
          0.030	  0.190	  0.255	  0.065	 -0.220	  0.160	  0.060	  0.115	  0.335	  0.230	  0.240	  0.135	  0.050
          0.032	  0.195	  0.300	  0.105	 -0.245	  0.200	  0.045	  0.090	  0.310	  0.210	  0.235	  0.130	  0.040
          0.034	  0.210	  0.315	  0.105	 -0.260	  0.210	  0.050	  0.075	  0.295	  0.200	  0.250	  0.130	  0.050
